Uniq_ID,FRP,tube_number,trtmnt_tank,sample_day,infection_status,maturity,RNA_ng.ul,total.yield_ng,elution_vol_ul,org_sample_ul,target,sq_all.runs_mean
6101_206_12,6101,206,cold,12,0,I,19.9,258.7,15,70,Hemato,42.225
6101_415_26,6101,415,cold,26,0,I,12.3,159.9,15,70,Hemato,42.225
6101_84_9,6101,84,NA,9,0,I,34.7,451.1,15,70,Hemato,42.225
6102_18_9,6102,18,NA,9,0,I,4.46,57.98,15,70,Hemato,32.544
6102_18_9,6102,18,NA,9,0,I,4.46,57.98,15,70,Hemato,32.544
6102_439_26,6102,439,cold,26,0,I,21.6,280.8,15,70,Hemato,32.544
6102_439_26,6102,439,cold,26,0,I,21.6,280.8,15,70,Hemato,32.544
6102_439_26,6102,439,cold,26,0,I,6.94,90.22,14,all,Hemato,32.544
6102_439_26,6102,439,cold,26,0,I,6.94,90.22,14,all,Hemato,32.544
6103_215_12,6103,215,cold,12,1,I,6.68,300.6,50,all,Hemato,183.25
6103_409_26,6103,409,cold,26,1,I,8.04,361.8,50,all,Hemato,183.25
6103_409_26,6103,409,cold,26,1,I,12.2,158.6,15,70,Hemato,183.25
6103_46_9,6103,46,NA,9,1,I,5.04,226.8,50,all,Hemato,183.25
6104_259_12,6104,259,cold,12,0,I,31.7,412.1,15,35,Hemato,18.55125
6104_259_12,6104,259,cold,12,0,I,31.7,412.1,15,35,Hemato,18.55125
6104_41_9,6104,41,NA,9,0,I,3.95,51.35,15,35,Hemato,18.55125
6104_41_9,6104,41,NA,9,0,I,3.95,51.35,15,35,Hemato,18.55125
6104_458_26,6104,458,cold,26,0,I,0.92,4.6,10,all,Hemato,18.55125
6104_458_26,6104,458,cold,26,0,I,0.92,4.6,10,all,Hemato,18.55125
6106_241_12,6106,241,cold,12,0,M,13,169,15,35,Hemato,78.76
6106_450_26,6106,450,cold,26,0,M,25.4,381,15,all,Hemato,78.76
6106_5_9,6106,5,NA,9,0,M,13.4,174.2,15,35,Hemato,78.76
6107_115_9,6107,115,NA,9,0,M,26.6,345.8,15,70,Hemato,61.1795
6107_115_9,6107,115,NA,9,0,M,26.6,345.8,15,70,Hemato,61.1795
6107_350_12,6107,350,ambient,12,0,M,20.4,265.2,15,70,Hemato,61.1795
6107_350_12,6107,350,ambient,12,0,M,20.4,265.2,15,70,Hemato,61.1795
6107_471_26,6107,471,ambient,26,0,M,19.9,258.7,15,70,Hemato,61.1795
6107_471_26,6107,471,ambient,26,0,M,19.9,258.7,15,70,Hemato,61.1795
6107_471_26,6107,471,ambient,26,0,M,1.53,7.65,10,all,Hemato,61.1795
6107_471_26,6107,471,ambient,26,0,M,1.53,7.65,10,all,Hemato,61.1795
6108_255_12,6108,255,cold,12,1,I,16.6,215.8,15,70,Hemato,71.135
6108_455_26,6108,455,cold,26,1,I,10.2,132.6,15,70,Hemato,71.135
6108_455_26,6108,455,cold,26,1,I,4.88,24.4,10,all,Hemato,71.135
6109_351_12,6109,351,ambient,12,0,I,13.6,176.8,15,70,Hemato,266.0366667
6109_351_12,6109,351,ambient,12,0,I,13.6,176.8,15,70,,266.0366667
6109_351_12,6109,351,ambient,12,0,I,13.6,176.8,15,70,Hemato,266.0366667
6109_480_26,6109,480,ambient,26,0,I,19.8,257.4,15,70,Hemato,266.0366667
6109_480_26,6109,480,ambient,26,0,I,19.8,257.4,15,70,,266.0366667
6109_480_26,6109,480,ambient,26,0,I,19.8,257.4,15,70,Hemato,266.0366667
6109_480_26,6109,480,ambient,26,0,I,6.86,89.18,14,all,Hemato,266.0366667
6109_480_26,6109,480,ambient,26,0,I,6.86,89.18,14,all,,266.0366667
6109_480_26,6109,480,ambient,26,0,I,6.86,89.18,14,all,Hemato,266.0366667
6110_135_9,6110,135,NA,9,0,I,4.6,59.8,14,15,Hemato,88.695
6110_135_9,6110,135,NA,9,0,I,4.6,59.8,14,15,Hemato,88.695
6110_135_9,6110,135,NA,9,0,I,4.6,59.8,14,15,Hemato,88.695
6110_135_9,6110,135,NA,9,0,I,4.6,59.8,14,15,Hemato,88.695
6110_331_12,6110,331,ambient,12,0,I,21.9,284.7,15,70,Hemato,88.695
6110_331_12,6110,331,ambient,12,0,I,21.9,284.7,15,70,Hemato,88.695
6110_488_26,6110,488,ambient,26,0,I,23.4,304.2,15,70,Hemato,88.695
6110_488_26,6110,488,ambient,26,0,I,23.4,304.2,15,70,Hemato,88.695
6110_488_26,6110,488,ambient,26,0,I,9.74,126.62,14,all,Hemato,88.695
6110_488_26,6110,488,ambient,26,0,I,9.74,126.62,14,all,Hemato,88.695
6111_356_12,6111,356,ambient,12,1,I,21.3,276.9,15,70,Hemato,680.3
6111_356_12,6111,356,ambient,12,1,I,21.3,276.9,15,70,,680.3
6112_28_9,6112,28,NA,9,0,I,22.1,287.3,15,35,Hemato,NA
6112_28_9,6112,28,NA,9,0,I,22.1,287.3,15,35,,NA
6112_28_9,6112,28,NA,9,0,I,22.1,287.3,15,35,Hemato,NA
6112_28_9,6112,28,NA,9,0,I,20.4,265.2,15,70,Hemato,NA
6112_28_9,6112,28,NA,9,0,I,20.4,265.2,15,70,,NA
6112_28_9,6112,28,NA,9,0,I,20.4,265.2,15,70,Hemato,NA
6112_499_26,6112,499,ambient,26,0,I,19.5,253.5,15,70,Hemato,NA
6112_499_26,6112,499,ambient,26,0,I,19.5,253.5,15,70,,NA
6112_499_26,6112,499,ambient,26,0,I,19.5,253.5,15,70,Hemato,NA
6113_214_12,6113,214,cold,12,0,I,3.55,159.75,50,all,Hemato,24.25
6113_419_26,6113,419,cold,26,0,I,5.64,253.8,50,all,Hemato,24.25
6113_78_9,6113,78,NA,9,0,I,2.19,98.55,50,all,Hemato,24.25
6114_484_26,6114,484,ambient,26,1,I,23.8,309.4,15,70,Hemato,268.25
6114_484_26,6114,484,ambient,26,1,I,9.12,118.56,14,all,Hemato,268.25
6115_307_12,6115,307,ambient,12,1,I,7.89,118.35,15,NA,Hemato,1459.875
6115_33_9,6115,33,NA,9,1,I,21,273,15,70,Hemato,1459.875
6115_514_26,6115,514,ambient,26,1,I,5.96,59.6,15,35,Hemato,1459.875
6116_417_26,6116,417,cold,26,1,I,17.3,224.9,14,all,Hemato,435
6116_417_26,6116,417,cold,26,1,I,3.51,17.55,10,all,Hemato,435
6117_225_12,6117,225,cold,12,0,I,1.76,79.2,50,all,Hemato,49.6375
6117_225_12,6117,225,cold,12,0,I,1.76,79.2,50,all,Hemato,49.6375
6117_440_26,6117,440,cold,26,0,I,1.77,79.65,50,all,Hemato,49.6375
6117_440_26,6117,440,cold,26,0,I,1.77,79.65,50,all,Hemato,49.6375
6118_240_12,6118,240,cold,12,1,I,21.6,280.8,15,35,Hemato,306.5
6118_430_26,6118,430,cold,26,1,I,1.88,9.4,10,all,Hemato,306.5
6119_153_9,6119,153,NA,9,0,I,2.02,90.9,50,all,Hemato,48.425
6119_258_12,6119,258,cold,12,0,I,3.86,173.7,50,all,Hemato,48.425
6119_461_26,6119,461,cold,26,0,I,11.2,168,15,all,Hemato,48.425
6120_165_9,6120,165,NA,9,1,I,7.15,107.25,15,35,Hemato,616.5
6120_248_12,6120,248,cold,12,1,I,13.4,174.2,15,35,Hemato,616.5
6120_459_26,6120,459,cold,26,1,I,40.2,522.6,14,all,Hemato,616.5
6120_459_26,6120,459,cold,26,1,I,6.48,32.4,10,all,Hemato,616.5
6121_472_26,6121,472,ambient,26,1,I,8.57,128.55,15,NA,Hemato,440
6121_472_26,6121,472,ambient,26,1,I,8.57,128.55,15,NA,,440
6122_133_9,6122,133,NA,9,1,I,23.5,305.5,15,35,Hemato,724.25
6122_325_12,6122,325,ambient,12,1,I,31.1,404.3,15,35,Hemato,724.25
6122_489_26,6122,489,ambient,26,1,I,8.32,83.2,15,35,Hemato,724.25
6123_345_12,6123,345,ambient,12,0,I,19.1,248.3,15,70,Hemato,102.27125
6123_345_12,6123,345,ambient,12,0,I,19.1,248.3,15,70,,102.27125
6123_473_26,6123,473,ambient,26,0,I,9.91,128.83,15,70,Hemato,102.27125
6123_473_26,6123,473,ambient,26,0,I,9.91,128.83,15,70,,102.27125
6123_473_26,6123,473,ambient,26,0,I,4.8,62.4,14,all,Hemato,102.27125
6123_473_26,6123,473,ambient,26,0,I,4.8,62.4,14,all,,102.27125
6124_347_12,6124,347,ambient,12,0,M,18.8,244.4,15,70,Hemato,704
6124_464_26,6124,464,ambient,26,0,M,19.1,286.5,15,NA,Hemato,704
6124_75_9,6124,75,NA,9,0,M,32.9,427.7,15,70,Hemato,704
6125_144_9,6125,144,NA,9,1,I,14.3,185.9,15,35,Hemato,179.5
6125_144_9,6125,144,NA,9,1,I,14.3,185.9,15,35,,179.5
6125_303_12,6125,303,ambient,12,1,I,27.4,356.2,15,35,Hemato,179.5
6125_303_12,6125,303,ambient,12,1,I,27.4,356.2,15,35,,179.5
6125_503_26,6125,503,ambient,26,1,I,7.12,71.2,15,35,Hemato,179.5
6125_503_26,6125,503,ambient,26,1,I,7.12,71.2,15,35,,179.5
6126_201_12,6126,201,cold,12,1,I,6.27,81.51,15,35,Hemato,604.5
6126_418_26,6126,418,cold,26,1,I,2.84,14.2,10,all,Hemato,604.5
6126_79_9,6126,79,NA,9,1,I,17.8,267,15,35,Hemato,604.5
6127_335_12,6127,335,ambient,12,0,I,3.46,155.7,50,all,Hemato,168.25
6127_37_9,6127,37,NA,9,0,I,3.38,152.1,50,all,Hemato,168.25
6127_497_26,6127,497,ambient,26,0,I,4.36,196.2,50,all,Hemato,168.25
6128_112_9,6128,112,NA,9,1,I,17.1,256.5,15,NA,Hemato,7773.75
6128_231_12,6128,231,cold,12,1,I,37.9,492.7,15,35,Hemato,7773.75
6128_441_26,6128,441,cold,26,1,I,3.15,15.75,10,all,Hemato,7773.75
6129_403_26,6129,403,warm,26,1,I,2.64,118.8,50,all,Hemato,5567.5
6129_86_9,6129,86,NA,9,1,I,3.09,139.05,50,all,Hemato,5567.5
6130_339_12,6130,339,ambient,12,0,I,0.88,39.6,50,all,Hemato,NA
6130_339_12,6130,339,ambient,12,0,I,0.88,39.6,50,all,,NA
6130_339_12,6130,339,ambient,12,0,I,0.88,39.6,50,all,Hemato,NA
6130_47_9,6130,47,NA,9,0,I,7.32,329.4,50,all,Hemato,NA
6130_47_9,6130,47,NA,9,0,I,7.32,329.4,50,all,,NA
6130_47_9,6130,47,NA,9,0,I,7.32,329.4,50,all,Hemato,NA
6130_498_26,6130,498,ambient,26,0,I,1.8,81,50,all,Hemato,NA
6130_498_26,6130,498,ambient,26,0,I,1.8,81,50,all,,NA
6130_498_26,6130,498,ambient,26,0,I,1.8,81,50,all,Hemato,NA
6131_314_12,6131,314,ambient,12,0,I,1.42,63.9,50,all,Hemato,124.3125
6131_314_12,6131,314,ambient,12,0,I,1.42,63.9,50,all,Hemato,124.3125
6131_507_26,6131,507,ambient,26,0,I,8.9,89,15,50,Hemato,124.3125
6131_507_26,6131,507,ambient,26,0,I,8.9,89,15,50,Hemato,124.3125
6131_507_26,6131,507,ambient,26,0,I,0.88,39.6,50,all,Hemato,124.3125
6131_507_26,6131,507,ambient,26,0,I,0.88,39.6,50,all,Hemato,124.3125
6132_205_12,6132,205,cold,12,0,I,1.64,73.8,50,all,Hemato,58.98
6132_205_12,6132,205,cold,12,0,I,1.64,73.8,50,all,Hemato,58.98
6132_406_26,6132,406,cold,26,0,I,12.3,184.5,15,NA,Hemato,58.98
6132_406_26,6132,406,cold,26,0,I,12.3,184.5,15,NA,Hemato,58.98
6132_88_9,6132,88,NA,9,0,I,2.81,126.45,50,all,Hemato,58.98
6132_88_9,6132,88,NA,9,0,I,2.81,126.45,50,all,Hemato,58.98
6133_223_12,6133,223,cold,12,0,I,8.24,370.8,50,all,Hemato,105.66625
6133_223_12,6133,223,cold,12,0,I,8.24,370.8,50,all,Hemato,105.66625
6133_36_9,6133,36,NA,9,0,I,4.16,187.2,50,all,Hemato,105.66625
6133_36_9,6133,36,NA,9,0,I,4.16,187.2,50,all,Hemato,105.66625
6133_434_26,6133,434,cold,26,0,I,3.9,175.5,50,all,Hemato,105.66625
6133_434_26,6133,434,cold,26,0,I,3.9,175.5,50,all,Hemato,105.66625
6134_353_12,6134,353,ambient,12,1,I,2.68,120.6,50,all,Hemato,145.75
6134_465_26,6134,465,ambient,26,1,I,9.1,136.5,15,NA,Hemato,145.75
6134_77_9,6134,77,NA,9,1,I,1.71,76.95,50,all,Hemato,145.75
6135_327_12,6135,327,ambient,12,1,M,2.01,90.45,50,all,Hemato,114.99475
6135_327_12,6135,327,ambient,12,1,M,2.01,90.45,50,all,Hemato,114.99475
6135_4_9,6135,4,NA,9,1,M,3.52,158.4,50,all,Hemato,114.99475
6135_4_9,6135,4,NA,9,1,M,3.52,158.4,50,all,Hemato,114.99475
6135_492_26,6135,492,ambient,26,1,M,1.08,48.6,50,all,Hemato,114.99475
6135_492_26,6135,492,ambient,26,1,M,1.08,48.6,50,all,Hemato,114.99475
6136_321_12,6136,321,ambient,12,0,M,11.7,152.1,15,35,Hemato,110.33
6136_321_12,6136,321,ambient,12,0,M,11.7,152.1,15,35,Hemato,110.33
6136_491_26,6136,491,ambient,26,0,M,7.37,73.7,15,35,Hemato,110.33
6136_491_26,6136,491,ambient,26,0,M,7.37,73.7,15,35,Hemato,110.33
6136_91_9,6136,91,NA,9,0,M,15.7,204.1,15,35,Hemato,110.33
6136_91_9,6136,91,NA,9,0,M,15.7,204.1,15,35,Hemato,110.33
6136_91_9,6136,91,NA,9,0,M,14.8,192.4,15,35,Hemato,110.33
6136_91_9,6136,91,NA,9,0,M,14.8,192.4,15,35,Hemato,110.33
6137_301_12,6137,301,ambient,12,1,I,28.9,375.7,15,35,Hemato,530.8333333
6137_301_12,6137,301,ambient,12,1,I,28.9,375.7,15,35,,530.8333333
6137_500_26,6137,500,ambient,26,1,I,13.8,138,15,35,Hemato,530.8333333
6137_500_26,6137,500,ambient,26,1,I,13.8,138,15,35,,530.8333333
6137_81_9,6137,81,NA,9,1,I,51,663,15,35,Hemato,530.8333333
6137_81_9,6137,81,NA,9,1,I,51,663,15,35,,530.8333333
6137_81_9,6137,81,NA,9,1,I,31,403,15,35,Hemato,530.8333333
6137_81_9,6137,81,NA,9,1,I,31,403,15,35,,530.8333333
6138_247_12,6138,247,cold,12,0,I,6.44,289.8,50,all,Hemato,42.05
6138_453_26,6138,453,cold,26,0,I,6.16,277.2,50,all,Hemato,42.05
6138_80_9,6138,80,NA,9,0,I,2.66,119.7,50,all,Hemato,42.05
6139_104_9,6139,104,NA,9,3,M,29.1,378.3,15,70,Hemato,NA
6139_104_9,6139,104,NA,9,3,M,29.1,378.3,15,70,Hemato,NA
6139_332_12,6139,332,ambient,12,3,M,16,208,15,70,Hemato,NA
6139_332_12,6139,332,ambient,12,3,M,16,208,15,70,Hemato,NA
6139_493_26,6139,493,ambient,26,3,M,4.02,52.26,15,70,Hemato,NA
6139_493_26,6139,493,ambient,26,3,M,4.02,52.26,15,70,Hemato,NA
6140_237_12,6140,237,cold,12,1,I,5.06,65.78,15,35,Hemato,59.1225
6140_429_26,6140,429,cold,26,1,I,12,180,15,NA,Hemato,59.1225
6140_8_9,6140,8,NA,9,1,I,16,208,15,35,Hemato,59.1225
6141_123_9,6141,123,NA,9,1,I,13.1,196.5,15,NA,Hemato,6788.75
6141_249_12,6141,249,cold,12,1,I,18.6,241.8,15,35,Hemato,6788.75
6141_451_26,6141,451,cold,26,1,I,65.6,852.8,14,all,Hemato,6788.75
6141_451_26,6141,451,cold,26,1,I,4.56,114,30,all,Hemato,6788.75
6142_346_12,6142,346,ambient,12,0,I,1.8,81,50,all,Hemato,2607.5
6142_474_26,6142,474,ambient,26,0,I,14.4,144,15,35,Hemato,2607.5
6143_10_9,6143,10,NA,9,0,M,29.3,380.9,15,35,Hemato,158.1273333
6143_10_9,6143,10,NA,9,0,M,29.3,380.9,15,35,,158.1273333
6143_10_9,6143,10,NA,9,0,M,29.3,380.9,15,35,Hemato,158.1273333
6143_10_9,6143,10,NA,9,0,M,22.9,297.7,15,35,Hemato,158.1273333
6143_10_9,6143,10,NA,9,0,M,22.9,297.7,15,35,,158.1273333
6143_10_9,6143,10,NA,9,0,M,22.9,297.7,15,35,Hemato,158.1273333
6143_343_12,6143,343,ambient,12,0,M,7.73,100.49,15,35,Hemato,158.1273333
6143_343_12,6143,343,ambient,12,0,M,7.73,100.49,15,35,,158.1273333
6143_343_12,6143,343,ambient,12,0,M,7.73,100.49,15,35,Hemato,158.1273333
6143_479_26,6143,479,ambient,26,0,M,15.3,229.5,15,NA,Hemato,158.1273333
6143_479_26,6143,479,ambient,26,0,M,15.3,229.5,15,NA,,158.1273333
6143_479_26,6143,479,ambient,26,0,M,15.3,229.5,15,NA,Hemato,158.1273333
6144_14_9,6144,14,NA,9,1,I,4.92,221.4,50,all,Hemato,1066.666667
6144_14_9,6144,14,NA,9,1,I,4.92,221.4,50,all,,1066.666667
6144_348_12,6144,348,ambient,12,1,I,5.76,259.2,50,all,Hemato,1066.666667
6144_348_12,6144,348,ambient,12,1,I,5.76,259.2,50,all,,1066.666667
6144_477_26,6144,477,ambient,26,1,I,20.3,203,15,35,Hemato,1066.666667
6144_477_26,6144,477,ambient,26,1,I,20.3,203,15,35,,1066.666667
6144_477_26,6144,477,ambient,26,1,I,1.84,82.8,50,all,Hemato,1066.666667
6144_477_26,6144,477,ambient,26,1,I,1.84,82.8,50,all,,1066.666667
6145_305_12,6145,305,ambient,12,1,I,2.44,109.8,50,all,Hemato,141.075
6145_505_26,6145,505,ambient,26,1,I,4.7,47,15,35,Hemato,141.075
6145_59_9,6145,59,NA,9,1,I,2.34,105.3,50,all,Hemato,141.075
6146_309_12,6146,309,ambient,12,0,I,4,180,50,all,Hemato,483.8333333
6146_309_12,6146,309,ambient,12,0,I,4,180,50,all,,483.8333333
6146_309_12,6146,309,ambient,12,0,I,4,180,50,all,Hemato,483.8333333
6146_502_26,6146,502,ambient,26,0,I,2.18,98.1,50,all,Hemato,483.8333333
6146_502_26,6146,502,ambient,26,0,I,2.18,98.1,50,all,,483.8333333
6146_502_26,6146,502,ambient,26,0,I,2.18,98.1,50,all,Hemato,483.8333333
6147_204_12,6147,204,cold,12,0,I,3.6,162,50,all,Hemato,214
6147_421_26,6147,421,cold,26,0,I,3.64,163.8,50,all,Hemato,214
6148_213_12,6148,213,cold,12,1,I,34,442,15,35,Hemato,511.25
6148_405_26,6148,405,cold,26,1,I,3.12,15.6,10,all,Hemato,511.25
6148_56_9,6148,56,NA,9,1,I,0.896,35.84,50,all,Hemato,511.25
6149_226_12,6149,226,cold,12,1,I,26.2,340.6,15,35,Hemato,66052.5
6149_437_26,6149,437,cold,26,1,I,3.82,19.1,10,all,Hemato,66052.5
6149_64_9,6149,64,NA,9,1,I,7.33,109.95,15,35,Hemato,66052.5
6150_119_9,6150,119,NA,9,0,M,32.3,419.9,15,35,Hemato,4788.143667
6150_119_9,6150,119,NA,9,0,M,32.3,419.9,15,35,Hemato,4788.143667
6150_119_9,6150,119,NA,9,0,M,24.9,323.7,15,35,Hemato,4788.143667
6150_119_9,6150,119,NA,9,0,M,24.9,323.7,15,35,Hemato,4788.143667
6150_312_12,6150,312,ambient,12,0,M,14.2,184.6,15,35,Hemato,4788.143667
6150_312_12,6150,312,ambient,12,0,M,14.2,184.6,15,35,Hemato,4788.143667
6150_511_26,6150,511,ambient,26,0,M,4.12,41.2,15,35,Hemato,4788.143667
6150_511_26,6150,511,ambient,26,0,M,4.12,41.2,15,35,Hemato,4788.143667
6151_19_9,6151,19,NA,9,1,I,5.45,70.85,15,35,Hemato,320.95
6151_243_12,6151,243,cold,12,1,I,2.3,29.9,15,35,Hemato,320.95
6151_454_26,6151,454,cold,26,1,I,11.4,171,15,NA,Hemato,320.95
6152_344_12,6152,344,ambient,12,0,M,6.65,99.75,15,NA,Hemato,285.93875
6152_344_12,6152,344,ambient,12,0,M,6.65,99.75,15,NA,Hemato,285.93875
6152_467_26,6152,467,ambient,26,0,M,5.45,81.75,15,NA,Hemato,285.93875
6152_467_26,6152,467,ambient,26,0,M,5.45,81.75,15,NA,Hemato,285.93875
6153_11_9,6153,11,NA,9,0,M,11.7,152.1,15,35,Hemato,79.3
6153_209_12,6153,209,cold,12,0,M,24.3,315.9,15,35,Hemato,79.3
6153_404_26,6153,404,cold,26,0,M,12.2,183,15,all,Hemato,79.3
6154_232_12,6154,232,cold,12,0,I,2.38,107.1,50,all,Hemato,48.085
6154_232_12,6154,232,cold,12,0,I,2.38,107.1,50,all,Hemato,48.085
6154_436_26,6154,436,cold,26,0,I,5.04,226.8,50,all,Hemato,48.085
6154_436_26,6154,436,cold,26,0,I,5.04,226.8,50,all,Hemato,48.085
6154_68_9,6154,68,NA,9,0,I,2.1,94.5,50,all,Hemato,48.085
6154_68_9,6154,68,NA,9,0,I,2.1,94.5,50,all,Hemato,48.085
6155_358_12,6155,358,ambient,12,1,I,3.71,166.95,50,all,Hemato,957.6666667
6155_358_12,6155,358,ambient,12,1,I,3.71,166.95,50,all,,957.6666667
6155_476_26,6155,476,ambient,26,1,I,15.3,229.5,15,NA,Hemato,957.6666667
6155_476_26,6155,476,ambient,26,1,I,15.3,229.5,15,NA,,957.6666667
6156_24_9,6156,24,NA,9,0,I,28.2,366.6,15,35,Hemato,249.63125
6156_24_9,6156,24,NA,9,0,I,28.2,366.6,15,35,Hemato,249.63125
6156_24_9,6156,24,NA,9,0,I,21.2,275.6,15,35,Hemato,249.63125
6156_24_9,6156,24,NA,9,0,I,21.2,275.6,15,35,Hemato,249.63125
6156_446_26,6156,446,cold,26,0,I,20.7,310.5,15,NA,Hemato,249.63125
6156_446_26,6156,446,cold,26,0,I,20.7,310.5,15,NA,Hemato,249.63125
6157_169_9,6157,169,NA,9,0,M,46.4,603.2,15,35,Hemato,93.054
6157_169_9,6157,169,NA,9,0,M,46.4,603.2,15,35,Hemato,93.054
6157_169_9,6157,169,NA,9,0,M,28.1,365.3,15,35,Hemato,93.054
6157_169_9,6157,169,NA,9,0,M,28.1,365.3,15,35,Hemato,93.054
6157_224_12,6157,224,cold,12,0,M,19.2,249.6,15,35,Hemato,93.054
6157_224_12,6157,224,cold,12,0,M,19.2,249.6,15,35,Hemato,93.054
6157_423_26,6157,423,cold,26,0,M,25,275,12,all,Hemato,93.054
6157_423_26,6157,423,cold,26,0,M,25,275,12,all,Hemato,93.054
6158_101_9,6158,101,NA,9,1,I,4.18,54.34,15,35,Hemato,587.75
6158_324_12,6158,324,ambient,12,1,I,16.5,247.5,15,NA,Hemato,587.75
6158_483_26,6158,483,ambient,26,1,I,13.3,199.5,15,NA,Hemato,587.75
6159_26_9,6159,26,NA,9,1,I,1.38,62.1,50,all,Hemato,402.25
6159_313_12,6159,313,ambient,12,1,I,2,90,50,all,Hemato,402.25
6159_508_26,6159,508,ambient,26,1,I,7.74,77.4,15,35,Hemato,402.25
6160_238_12,6160,238,cold,12,0,M,38,494,15,35,Hemato,28.975
6160_238_12,6160,238,cold,12,0,M,38,494,15,35,Hemato,28.975
6160_426_26,6160,426,cold,26,0,M,5.28,68.64,14,all,Hemato,28.975
6160_426_26,6160,426,cold,26,0,M,5.28,68.64,14,all,Hemato,28.975
6160_7_9,6160,7,NA,9,0,M,11.8,153.4,15,35,Hemato,28.975
6160_7_9,6160,7,NA,9,0,M,11.8,153.4,15,35,Hemato,28.975
6161_302_12,6161,302,ambient,12,0,M,8.04,120.6,15,NA,Hemato,99.3315
6161_302_12,6161,302,ambient,12,0,M,8.04,120.6,15,NA,Hemato,99.3315
6161_512_26,6161,512,ambient,26,0,M,10.9,109,15,35,Hemato,99.3315
6161_512_26,6161,512,ambient,26,0,M,10.9,109,15,35,Hemato,99.3315
6161_53_9,6161,53,NA,9,0,M,31.2,405.6,15,35,Hemato,99.3315
6161_53_9,6161,53,NA,9,0,M,31.2,405.6,15,35,Hemato,99.3315
6161_53_9,6161,53,NA,9,0,M,15.5,201.5,15,35,Hemato,99.3315
6161_53_9,6161,53,NA,9,0,M,15.5,201.5,15,35,Hemato,99.3315
6162_220_12,6162,220,cold,12,1,I,12.9,167.7,15,35,Hemato,878.75
6162_407_26,6162,407,cold,26,1,I,14.5,217.5,15,all,Hemato,878.75
6163_228_12,6163,228,cold,12,1,I,28,364,15,35,Hemato,141.225
6163_424_26,6163,424,cold,26,1,I,21.4,321,15,NA,Hemato,141.225
6164_257_12,6164,257,cold,12,1,I,27.2,353.6,15,35,Hemato,889.25
6164_460_26,6164,460,cold,26,1,I,1.55,7.75,10,all,Hemato,889.25
6164_71_9,6164,71,NA,9,1,I,18.2,236.6,15,35,Hemato,889.25
6165_360_12,6165,360,ambient,12,0,I,1.55,69.75,50,all,Hemato,50.43666667
6165_360_12,6165,360,ambient,12,0,I,1.55,69.75,50,all,,50.43666667
6165_469_26,6165,469,ambient,26,0,I,5.16,232.2,50,all,Hemato,50.43666667
6165_469_26,6165,469,ambient,26,0,I,5.16,232.2,50,all,,50.43666667
6165_469_26,6165,469,ambient,26,0,I,5.16,232.2,50,all,Hemato,50.43666667
6165_469_26,6165,469,ambient,26,0,I,5.16,232.2,50,all,,50.43666667
6165_55_9,6165,55,NA,9,0,I,1.16,52.2,50,all,Hemato,50.43666667
6165_55_9,6165,55,NA,9,0,I,1.16,52.2,50,all,,50.43666667
6166_21_9,6166,21,NA,9,0,I,1.72,77.4,50,all,Hemato,126.053
6166_21_9,6166,21,NA,9,0,I,1.72,77.4,50,all,Hemato,126.053
6166_349_12,6166,349,ambient,12,0,I,5.56,250.2,50,all,Hemato,126.053
6166_349_12,6166,349,ambient,12,0,I,5.56,250.2,50,all,Hemato,126.053
6166_496_26,6166,496,ambient,26,0,I,5.88,264.6,50,all,Hemato,126.053
