year_FRP,FRP,sq_mean,equal_sample_vol_qpcr,sq_std_dev,0,pos_neg_no_quant,pos_neg,Qubit_conc,units,run,day_26_tube_number,treatment_tank,temperature_treatment,Comments
2017-6235,6235,0,0,0,0,iffy,0,3.56,ng/ul,5/3/2018 first,Day 0/1 (EtoH),5,warm,0
2017-6175,6175,1.01E+01,no,4.61E+00,0,POS,0,0,ng/ul,5/3/2018 first,Day 0/1 (EtoH),3,cold,31-G08 has 2ul DNA in D1 & maybe 0.5 ul in D2 well (4 reps pos)
2017-6178,6178,0,0,0,0,POS,0,0,ng/ul,4/24/18 third,Day 0/1 (EtoH),1,cold,poor run but out of DNA
2017-6208,6208,0,0,0,0,POS,0,0,ng/ul,4/24/18 third,Day 0/1 (EtoH),2,cold,poor run but out of DNA
2017-6277,6277,7.32E+00,no,6.04E+00,0,POS,0,0,ng/ul,4/25/18 second,Day 0/1 (EtoH),3,cold,32-E12 has 2ul DNA in C1 & 1 ul in C2 well.
2017-6223,6223,8.51E-01,yes,0.00E+00,0,0,neg,2.58,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),4,warm,0
2017-6104,6104,0.00E+00,yes,0.00E+00,0,0,neg,0.49,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),3,cold,0
2017-6117,6117,1.97E+00,yes,1.09E-01,0,0,neg,0.804,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),2,cold,0
2017-6167,6167,2.68E+02,yes,1.71E+01,0,0,pos,2.02,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),1,cold,0
2017-6130,6130,0.00E+00,0,0.00E+00,0,NEG,0,1.5,ng/ul,0,Day 0/1 (EtoH),8,ambient,0
2017-6152,6152,8.77E-01,yes,1.08E-02,0,0,neg,0,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),7,ambient,0
2017-6176,6176,1.31E+00,yes,0.00E+00,0,0,neg,1.94,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),8,ambient,0
2017-6133,6133,8.33E-01,yes,1.05E-01,0,0,neg,2.96,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),2,cold,0
2017-6221,6221,1.46E+02,yes,9.40E+00,0,0,pos,0.472,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),6,warm,0
2017-6234,6234,0.00E+00,yes,0.00E+00,0,0,neg,3.6,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),4,warm,0
2017-6105,6105,6.62E+01,yes,6.36E-01,0,0,pos,2.42,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),2,cold,0
2017-6216,6216,2.53E+00,yes,3.77E-01,0,0,neg,2.9,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),4,warm,0
2017-6174,6174,2.08E+02,yes,2.03E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),2,cold,0
2017-6146,6146,0.00E+00,yes,0.00E+00,0,0,neg,1.17,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),9,ambient,0
2017-6127,6127,1.87E+02,yes,1.55E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),8,ambient,0
2017-6115,6115,2.86E+03,yes,3.13E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),9,ambient,0
2017-6106,6106,9.99E+00,yes,1.21E+00,0,0,pos,2.46,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),3,cold,0
2017-6279,6279,9.39E+02,yes,6.28E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),1,cold,0
2017-6131,6131,0.00E+00,0,0.00E+00,0,iffy,0,1.43,ng/ul,0,Day 0/1 (EtoH),9,ambient,0
2017-6179,6179,2.13E-01,yes,0.00E+00,0,0,neg,4.14,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),9,ambient,0
2017-6230,6230,4.60E+00,yes,7.88E-01,0,0,pos,3.48,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),5,warm,0
2017-6153,6153,1.03E+02,yes,2.76E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),1,cold,0
2017-6144,6144,4.85E+02,yes,1.00E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),7,ambient,0
2017-6232,6232,0.00E+00,0,0.00E+00,0,4 rep neg,0,2.96,ng/ul,0,Day 0/1 (EtoH),5,warm,0
2017-6248,6248,4.97E-01,yes,0.00E+00,0,0,neg,1.57,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),6,warm,0
2017-6237,6237,1.33E+03,yes,5.94E+01,0,0,pos,1.54,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),4,warm,0
2017-6103,6103,1.73E+02,yes,4.05E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),1,cold,0
2017-6276,6276,7.24E-01,yes,0.00E+00,0,0,neg,1.71,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),9,ambient,0
2017-6242,6242,1.55E+02,yes,1.72E+01,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),6,warm,0
2017-6113,6113,2.36E+01,yes,1.12E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),1,cold,0
2017-6241,6241,1.53E+04,yes,2.25E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),8,ambient,0
2017-6134,6134,1.70E+02,yes,6.43E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),7,ambient,0
2017-6254,6254,1.13E+00,yes,3.65E-01,0,0,neg,2.4,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),5,warm,0
2017-6116,6116,4.22E+02,yes,5.87E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),1,cold,0
2017-6161,6161,0.00E+00,yes,0.00E+00,0,0,neg,2.38,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),9,ambient,0
2017-6137,6137,1.67E+02,yes,5.39E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),9,ambient,0
2017-6148,6148,7.75E+02,yes,2.14E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),1,cold,0
2017-6162,6162,6.12E+02,yes,1.98E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),1,cold,0
2017-6129,6129,3.36E+03,yes,5.15E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 fourth,Day 0/1 (EtoH),5,warm,0
2017-6154,6154,1.47E+00,yes,5.61E-02,0,0,neg,3.72,ng/ul,4/24/18 second,Day 0/1 (EtoH),2,cold,0
2017-6118,6118,2.80E+02,yes,2.41E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),2,cold,0
2017-6111,6111,2.79E+01,yes,3.70E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),7,ambient,0
2017-6224,6224,5.23E+01,yes,4.24E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),4,warm,0
2017-6229,6229,0.00E+00,yes,0.00E+00,0,0,neg,2.56,ng/ul,4/25/18 third,Day 0/1 (EtoH),6,warm,0
2017-6164,6164,2.49E+02,yes,4.55E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),3,cold,0
2017-6145,6145,4.91E+01,yes,9.01E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),9,ambient,0
2017-6126,6126,7.47E+02,yes,1.15E+02,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),1,cold,0
2017-6165,6165,4.56E+00,yes,1.01E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),7,ambient,0
2017-6169,6169,2.48E+01,yes,3.33E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),8,ambient,0
2017-6155,6155,1.03E+02,yes,3.32E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),7,ambient,0
2017-6225,6225,1.63E+05,yes,2.60E+04,0,0,pos,9.6,ng/ul,4/24/18 second,Day 0/1 (EtoH),5,warm,0
2017-6262,6262,7.88E+01,yes,8.29E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),5,warm,0
2017-6173,6173,3.35E+02,yes,3.31E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),1,cold,0
2017-6149,6149,1.27E+05,yes,1.25E+03,0,0,pos,3.7,ng/ul,4/24/18 second,Day 0/1 (EtoH),2,cold,0
2017-6226,6226,1.93E+00,yes,6.68E-01,0,0,neg,0,ng/ul,4/24/18 second,Day 0/1 (EtoH),4,warm,0
2017-6172,6172,2.21E+02,yes,4.31E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),1,cold,0
2017-6124,6124,1.24E+03,yes,6.40E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),7,ambient,0
2017-6170,6170,7.49E+02,yes,1.61E+02,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),9,ambient,0
2017-6198,6198,0.00E+00,0,0.00E+00,0,POS,0,0,ng/ul,0,Day 0/1 (EtoH),2,cold,0
2017-6101,6101,1.91E+01,yes,1.84E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),1,cold,0
2017-6138,6138,1.57E+01,yes,1.69E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),3,cold,0
2017-6244,6244,2.35E+02,yes,5.27E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),5,warm,0
2017-6188,6188,1.09E+03,yes,1.81E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),3,cold,0
2017-6199,6199,2.10E+02,yes,2.60E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,Day 0/1 (EtoH),3,cold,0
2017-6136,6136,0.00E+00,yes,0.00E+00,0,0,neg,1.43,ng/ul,4/25/18 first,Day 0/1 (EtoH),8,ambient,0
2017-6132,6132,1.92E+00,yes,0.00E+00,0,0,neg,1.51,ng/ul,4/25/18 first,Day 0/1 (EtoH),1,cold,0
2017-6123,6123,1.28E+01,yes,2.59E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),7,ambient,0
2017-6197,6197,2.60E+03,yes,2.65E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),3,cold,0
2017-6197,6197,9.25E-01,yes,9.40E-02,0,0,neg,1.63,ng/ul,4/25/18 first,Day 0/1 (EtoH),3,cold,0
2017-6227,6227,7.07E+01,yes,8.07E+00,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),6,warm,0
2017-6250,6250,1.20E+05,yes,5.09E+03,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),5,warm,0
2017-6177,6177,3.34E+02,yes,6.22E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),3,cold,0
2017-6142,6142,3.35E+03,yes,8.27E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),7,ambient,0
2017-6273,6273,2.11E+05,yes,9.73E+03,0,0,pos,0,ng/ul,4/25/18 first,Day 0/1 (EtoH),5,warm,0
2017-6123,6123,4.23E+00,yes,5.25E-01,0,0,pos,6.72,ng/ul,4/25/18 first,Day 0/1 (EtoH),7,ambient,0
2017-6122,6122,5.86E+02,yes,3.26E+01,0,0,pos,0,ng/ul,4/25/18 first,Day 0/1 (EtoH),8,ambient,1.0 ul DNA in ea well
2017-6219,6219,6.52E+02,yes,5.38E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),4,warm,0
2017-6203,6203,9.14E+03,yes,2.33E+03,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),2,cold,0
2017-6212,6212,5.46E+05,yes,9.06E+04,0,0,pos,0,ng/ul,4/25/18 first,Day 0/1 (EtoH),8,ambient,0
2017-6272,6272,2.41E+00,yes,4.57E-01,0,0,neg,7.72,ng/ul,4/25/18 first,Day 0/1 (EtoH),8,ambient,0
2017-6209,6209,4.64E+02,yes,4.25E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),3,cold,0
2017-6252,6252,0.00E+00,yes,0.00E+00,0,0,neg,5.34,ng/ul,4/25/18 first,Day 0/1 (EtoH),8,ambient,0
2017-6205,6205,1.91E+04,yes,1.15E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),7,ambient,0
2017-6139,6139,0.00E+00,0,0.00E+00,0,4 rep pos,0,0,ng/ul,0,Day 0/1 (EtoH),8,ambient,0
2017-6147,6147,7.50E+00,yes,2.36E+00,0,0,pos,1.19,ng/ul,4/25/18 first,Day 0/1 (EtoH),1,cold,0
2017-6236,6236,1.36E+00,yes,8.66E-02,0,0,neg,3.32,ng/ul,4/25/18 first,Day 0/1 (EtoH),6,warm,0
2017-6214,6214,0.00E+00,0,0.00E+00,0,POS,0,0,ng/ul,0,Day 0/1 (EtoH),9,ambient,0
2017-6274,6274,9.07E+03,yes,1.97E+03,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),6,warm,0
2017-6210,6210,5.59E+03,yes,2.15E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),4,warm,0
2017-6211,6211,3.16E+05,yes,3.21E+04,0,0,pos,18.1,ng/ul,4/25/18 first,Day 0/1 (EtoH),7,ambient,0
2017-6240,6240,2.12E+03,yes,8.81E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),6,warm,0
2017-6158,6158,6.28E+02,yes,3.52E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),8,ambient,0
2017-6222,6222,5.81E+00,yes,3.53E-01,0,0,pos,10.2,ng/ul,4/25/18 first,Day 0/1 (EtoH),4,warm,0
2017-6196,6196,5.63E+02,yes,8.02E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),1,cold,0
2017-6271,6271,2.95E+00,yes,9.33E-01,0,0,neg,0,ng/ul,4/24/18 third,Day 0/1 (EtoH),5,warm,poor run but out of DNA
2017-6213,6213,1.33E+00,yes,4.23E-01,0,0,neg,58.6,ng/ul,4/25/18 first,Day 0/1 (EtoH),9,ambient,0
2017-6150,6150,0.00E+00,yes,0.00E+00,0,0,neg,2.08,ng/ul,4/25/18 first,Day 0/1 (EtoH),9,ambient,0
2017-6168,6168,1.05E+01,yes,2.71E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),7,ambient,0
2017-6163,6163,9.72E+01,yes,3.16E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),2,cold,0
2017-6171,6171,7.61E+05,yes,2.38E+04,0,0,pos,37.6,ng/ul,4/25/18 first,Day 0/1 (EtoH),2,cold,0
2017-6245,6245,1.04E+02,yes,7.50E+00,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),6,warm,0
2017-6202,6202,2.47E+03,yes,8.14E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 first,Day 0/1 (EtoH),8,ambient,0
2017-6282,6282,2.48E+00,yes,7.53E-01,0,0,neg,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),0,0,sent to UW for trial RNA e0traction (Sam)
2017-6215,6215,3.02E+02,yes,2.18E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),3,cold,0
2017-6243,6243,4.51E+03,yes,7.88E+01,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),4,warm,0
2017-6270,6270,3.45E+03,yes,8.10E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),4,warm,0
2017-6107,6107,8.59E-01,yes,7.33E-02,0,0,neg,7.44,ng/ul,4/25/18 second,Day 0/1 (EtoH),7,ambient,0
2017-6108,6108,7.76E+00,yes,5.37E-01,0,0,pos,0.232,ng/ul,4/25/18 second,Day 0/1 (EtoH),3,cold,0
2017-6261,6261,3.35E+03,yes,3.99E+02,0,0,pos,11.4,ng/ul,4/25/18 second,Day 0/1 (EtoH),4,warm,0
2017-6239,6239,1.50E+03,yes,4.25E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),5,warm,0
2017-6281,6281,0.00E+00,0,0.00E+00,0,POS,0,0,ng/ul,0,Day 0/1 (EtoH),0,0,sent to UW for trial RNA e0traction (Sam)
2017-6207,6207,1.62E+02,yes,1.42E-01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),1,cold,0
2017-6135,6135,9.79E-01,yes,0.00E+00,0,0,neg,19.2,ng/ul,4/25/18 second,Day 0/1 (EtoH),8,ambient,0
2017-6231,6231,3.77E-01,yes,0.00E+00,0,0,neg,0,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),4,warm,0
2017-6128,6128,1.48E+04,yes,4.88E+03,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),2,cold,0
2017-6141,6141,1.31E+04,yes,2.06E+03,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),3,cold,0
2017-6218,6218,8.83E-01,yes,6.59E-02,0,0,neg,15.2,ng/ul,4/25/18 second,Day 0/1 (EtoH),6,warm,0
2017-6206,6206,5.13E+01,yes,2.67E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),9,ambient,0
2017-6217,6217,0.00E+00,0,0.00E+00,0,0,?,0,ng/ul,0,Day 0/1 (EtoH),5,warm,0
2017-6280,6280,0.00E+00,0,0.00E+00,0,NEG,0,0,ng/ul,0,Day 0/1 (EtoH),0,0,sent to UW for trial RNA e0traction (Sam)
2017-6275,6275,0.00E+00,0,0.00E+00,0,NEG,0,0,ng/ul,0,Day 0/1 (EtoH),6,warm,0
2017-6159,6159,3.50E+02,yes,2.22E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),9,ambient,0
2017-6238,6238,0.00E+00,0,0.00E+00,0,2 rep neg,0,0,ng/ul,0,Day 0/1 (EtoH),6,warm,0
2017-6190,6190,1.01E+01,yes,1.72E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),1,cold,0
2017-6268,6268,0.00E+00,yes,0.00E+00,0,0,neg,0.272,ng/ul,4/25/18 second,Day 0/1 (EtoH),6,warm,0
2017-6201,6201,5.01E+01,yes,5.03E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),7,ambient,0
2017-6181,6181,8.24E-01,yes,2.77E-01,0,0,neg,4.02,ng/ul,4/25/18 second,Day 0/1 (EtoH),7,ambient,0
2017-6263,6263,2.92E+01,yes,2.56E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),6,warm,0
2017-6192,6192,2.83E+02,yes,1.54E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),7,ambient,0
2017-6264,6264,0.00E+00,yes,0.00E+00,0,0,neg,3.28,ng/ul,4/25/18 second,Day 0/1 (EtoH),4,warm,0
2017-6247,6247,0.00E+00,0,0.00E+00,0,NEG,0,2.54,ng/ul,0,Day 0/1 (EtoH),5,warm,0
2017-6251,6251,1.48E+02,yes,1.77E+01,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),6,warm,0
2017-6110,6110,1.77E+00,yes,0.00E+00,0,0,neg,6.44,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),8,ambient,0
2017-6269,6269,2.56E+02,yes,6.30E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),6,warm,0
2017-6267,6267,1.49E+00,yes,1.90E-01,0,0,neg,0.174,ng/ul,4/25/18 second,Day 0/1 (EtoH),5,warm,0
2017-6195,6195,4.18E+02,yes,7.71E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),9,ambient,0
2017-6187,6187,2.77E+03,yes,9.60E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),2,cold,0
