year_FRP,FRP,sq_mean,equal_sample_vol_qpcr,sq_std_dev,0,pos_neg_no_quant,pos_neg,Qubit_conc,units,run,day_26_tube_number,treatment_tank,temperature_treatment,Comments
2017-6266,6266,1.99E+02,yes,5.63E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),4,warm,0
2017-6119,6119,4.50E+00,yes,2.02E-01,0,0,pos,5.1,ng/ul,4/25/18 second,Day 0/1 (EtoH),3,cold,0
2017-6255,6255,1.78E+03,yes,1.45E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),4,warm,0
2017-6278,6278,4.11E+04,yes,5.71E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 second,Day 0/1 (EtoH),1,cold,0
2017-6256,6256,0.00E+00,0,0.00E+00,0,POS,0,0,ng/ul,0,Day 0/1 (EtoH),5,warm,0
2017-6186,6186,0.00E+00,yes,0.00E+00,0,0,neg,4.24,ng/ul,4/25/18 second,Day 0/1 (EtoH),9,ambient,0
2017-6265,6265,1.65E+01,yes,4.10E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),5,warm,0
2017-6191,6191,5.93E-01,yes,0.00E+00,0,0,neg,3.34,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),2,cold,0
2017-6220,6220,1.98E+02,yes,2.66E+01,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),5,warm,0
2017-6200,6200,0.00E+00,yes,0.00E+00,0,0,neg,3.24,ng/ul,5/3/2018 first,Day 0/1 (EtoH),1,cold,0
2017-6120,6120,1.10E+03,yes,2.34E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),3,cold,0
2017-6157,6157,1.11E+00,yes,2.27E-01,0,0,neg,0.904,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),2,cold,0
2017-6114,6114,3.89E+02,yes,1.19E+02,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),8,ambient,0
2017-6260,6260,0.00E+00,0,0.00E+00,0,NEG,0,0.69,ng/ul,0,Day 0/1 (EtoH),6,warm,0
2017-6185,6185,6.97E+00,yes,1.16E+00,0,0,pos,3.58,ng/ul,4/25/18 third,Day 0/1 (EtoH),8,ambient,0
2017-6194,6194,3.91E+01,yes,8.96E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),2,cold,0
2017-6189,6189,2.01E+00,yes,2.28E-01,0,0,neg,1.87,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),1,cold,0
2017-6193,6193,3.33E+02,yes,3.38E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),8,ambient,0
2017-6249,6249,3.22E+01,yes,3.70E+00,0,0,pos,0.446,ng/ul,4/25/18 third,Day 0/1 (EtoH),4,warm,0
2017-6257,6257,0.00E+00,0,0.00E+00,0,POS,0,0,ng/ul,0,Day 0/1 (EtoH),6,warm,0
2017-6109,6109,0.00E+00,yes,0.00E+00,0,0,neg,5.12,ng/ul,4/25/18 third,Day 0/1 (EtoH),7,ambient,0
2017-6259,6259,2.59E-01,yes,0.00E+00,0,0,neg,7.08,ng/ul,4/25/18 third,Day 0/1 (EtoH),5,warm,0
2017-6228,6228,7.87E+01,yes,6.64E+00,0,0,pos,4.5,ng/ul,4/25/18 third,Day 0/1 (EtoH),5,warm,0
2017-6121,6121,1.21E+02,yes,8.25E+00,0,0,pos,2,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),7,ambient,0
2017-6112,6112,0.00E+00,0,0.00E+00,0,4 rep neg,0,6.72,ng/ul,0,Day 0/1 (EtoH),9,ambient,0
2017-6182,6182,1.46E+04,yes,9.72E+02,0,0,pos,2.6,ng/ul,4/25/18 third,Day 0/1 (EtoH),7,ambient,0
2017-6258,6258,5.43E-01,yes,2.13E-02,0,0,neg,7.38,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),4,warm,0
2017-6183,6183,2.28E+03,yes,1.10E+02,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),8,ambient,0
2017-6180,6180,5.89E-01,yes,0.00E+00,0,0,neg,1.21,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),6,warm,0
2017-6156,6156,2.63E-01,yes,6.27E-02,0,0,neg,7.84,ng/ul,4/25/18 third,Day 0/1 (EtoH),3,cold,0
2017-6125,6125,6.90E+01,yes,8.82E+00,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),9,ambient,0
2017-6143,6143,7.64E-01,yes,0.00E+00,0,0,neg,1.02,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),7,ambient,0
2017-6166,6166,0.00E+00,yes,0.00E+00,0,0,neg,2.28,ng/ul,4/25/18 third,Day 0/1 (EtoH),8,ambient,0
2017-6253,6253,0.00E+00,yes,0.00E+00,0,0,neg,1.22,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),4,warm,0
2017-6151,6151,2.74E+01,yes,8.68E+00,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),3,cold,0
2017-6102,6102,3.76E-01,yes,0.00E+00,0,0,neg,5,ng/ul,4/25/18 third,Day 0/1 (EtoH),2,cold,0
2017-6160,6160,0.00E+00,yes,0.00E+00,0,0,neg,3.8,ng/ul,4/25/18 third,Day 0/1 (EtoH),2,cold,0
2017-6140,6140,7.74E+00,yes,1.81E+00,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,Day 0/1 (EtoH),2,cold,0
2017-6246,6246,0.00E+00,yes,0.00E+00,0,0,neg,6.4,ng/ul,4/27/18 first,Day 0/1 (EtoH),4,warm,0
2017-6184,6184,2.38E+02,yes,1.49E+01,0,0,pos,0.00E+00,ng/ul,4/25/18 third,Day 0/1 (EtoH),9,ambient,0
2017-6210,6210,3.56E+03,yes,5.62E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,401,4,warm,0
2017-6103,6103,1.93E+02,yes,2.45E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,409,1,cold,0
2017-6116,6116,4.49E+02,yes,1.18E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 second,417,1,cold,0
2017-6203,6203,3.21E+01,yes,2.56E+00,0,0,pos,2.2,ng/ul,4/25/18 third,425,2,cold,0
2017-6174,6174,1.57E+02,yes,3.43E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,433,2,cold,0
2017-6128,6128,6.97E+02,yes,5.98E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,441,2,cold,0
2017-6108,6108,1.35E+02,yes,2.58E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,455,3,cold,0
2017-6180,6180,1.29E+02,yes,1.63E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,402,6,warm,0
2017-6178,6178,5.04E+02,yes,5.96E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,410,1,cold,0
2017-6126,6126,4.61E+02,yes,6.78E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,418,1,cold,0
2017-6160,6160,5.79E+01,yes,7.83E-01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,426,2,cold,0
2017-6133,6133,2.10E+02,yes,8.13E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,434,2,cold,0
2017-6191,6191,5.32E+02,yes,8.09E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,442,2,cold,0
2017-6197,6197,1.69E+02,yes,1.27E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,449,3,cold,0
2017-6177,6177,4.98E+02,yes,1.23E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 second,456,3,cold,0
2017-6129,6129,7.77E+03,yes,1.06E+03,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,403,5,warm,0
2017-6279,6279,5.55E+02,yes,9.60E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,411,1,cold,0
2017-6113,6113,2.49E+01,yes,1.42E-01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,419,1,cold,0
2017-6171,6171,5.84E+00,yes,1.63E+00,0,0,pos,1.28,ng/ul,4/24/18 second,427,2,cold,0
2017-6208,6208,1.12E+03,yes,2.19E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,435,2,cold,0
2017-6188,6188,1.93E+02,yes,1.23E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,443,3,cold,0
2017-6106,6106,1.48E+02,yes,8.31E-01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,450,3,cold,0
2017-6215,6215,2.14E+02,yes,3.67E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,457,3,cold,0
2017-6153,6153,5.59E+01,yes,1.16E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,404,1,cold,0
2017-6207,6207,1.29E+02,yes,3.04E+01,0,0,pos,0.00E+00,ng/ul,4/27/18 2nd,412,1,cold,0
2017-6173,6173,1.34E+03,yes,2.71E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 second,420,1,cold,0
2017-6198,6198,2.47E+02,yes,3.07E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,428,2,cold,0
2017-6154,6154,9.49E+01,yes,1.63E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,436,2,cold,0
2017-6209,6209,1.70E+02,yes,1.54E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,444,3,cold,0
2017-6141,6141,4.27E+02,yes,3.51E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,451,3,cold,0
2017-6104,6104,3.70E+01,yes,3.16E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 second,458,3,cold,0
2017-6148,6148,2.47E+02,yes,2.62E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,405,1,cold,0
2017-6278,6278,5.74E+03,yes,7.16E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 second,413,1,cold,0
2017-6147,6147,4.20E+02,yes,8.68E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,421,1,cold,0
2017-6140,6140,1.10E+02,yes,8.87E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,429,2,cold,0
2017-6149,6149,5.10E+03,yes,1.32E+03,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,437,2,cold,0
2017-6199,6199,2.89E+03,yes,2.96E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,445,3,cold,0
2017-6190,6190,1.16E+02,yes,1.74E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,452,1,cold,0
2017-6132,6132,1.17E+02,yes,2.15E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,406,1,cold,0
2017-6167,6167,6.64E+02,yes,3.11E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,414,1,cold,0
2017-6189,6189,1.72E+02,yes,3.98E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,422,1,cold,0
2017-6118,6118,3.33E+02,yes,3.21E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,430,2,cold,0
2017-6105,6105,9.67E+01,yes,1.28E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,438,2,cold,0
2017-6156,6156,4.99E+02,yes,1.04E+02,0,0,pos,0.00E+00,ng/ul,4/24/18 second,446,3,cold,0
2017-6138,6138,6.84E+01,yes,1.20E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,453,3,cold,0
2017-6162,6162,1.15E+03,yes,8.04E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,407,1,cold,0
2017-6101,6101,6.53E+01,yes,8.52E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 second,415,1,cold,0
2017-6157,6157,1.85E+02,yes,9.82E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 second,423,2,cold,0
2017-6187,6187,1.19E+02,yes,1.79E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,431,2,cold,0
2017-6102,6102,6.49E+01,yes,2.56E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,439,2,cold,0
2017-6175,6175,9.11E+02,yes,9.22E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,447,3,cold,0
2017-6151,6151,6.15E+02,yes,6.59E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,454,3,cold,0
2017-6196,6196,3.48E+02,yes,2.52E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,408,1,cold,0
2017-6200,6200,2.70E+02,yes,6.63E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,416,1,cold,0
2017-6163,6163,1.85E+02,yes,2.26E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,424,2,cold,0
2017-6194,6194,8.03E+01,yes,1.28E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,432,2,cold,0
2017-6117,6117,9.75E+01,yes,5.49E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,440,2,cold,0
2017-6204,6204,3.85E+02,yes,9.34E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 1st,448,3,cold,0
2017-6120,6120,1.38E+02,yes,1.88E+01,0,0,pos,1.78,ng/ul,3/29/18 second,459,3,cold,0
2017-6152,6152,5.71E+02,yes,6.93E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,467,7,ambient,0
2017-6205,6205,4.44E+02,yes,7.17E+01,0,0,pos,0.00E+00,ng/ul,3/27/18 third,475,7,ambient,0
2017-6193,6193,3.93E+02,yes,6.10E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,482,8,ambient,0
2017-6176,6176,1.09E+02,yes,1.58E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,490,8,ambient,0
2017-6127,6127,1.49E+02,yes,1.18E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,497,8,ambient,0
2017-6145,6145,2.33E+02,yes,8.46E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,505,9,ambient,0
2017-6184,6184,1.89E+02,yes,4.97E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,513,9,ambient,0
2017-6164,6164,1.53E+03,yes,2.84E+02,0,0,pos,0.00E+00,ng/ul,4/24/18 second,460,3,cold,0
2017-6111,6111,9.27E+02,yes,9.37E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,468,7,ambient,0
2017-6155,6155,1.18E+03,yes,7.89E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,476,7,ambient,0
2017-6158,6158,5.48E+02,yes,6.01E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,483,8,ambient,0
2017-6136,6136,2.20E+02,yes,8.65E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,491,8,ambient,0
2017-6130,6130,1.59E+02,yes,2.08E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,498,8,ambient,0
2017-6213,6213,1.48E+02,yes,2.08E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,506,9,ambient,0
2017-6115,6115,6.47E+01,yes,1.54E+01,0,0,pos,0.406,ng/ul,3/29/18 second,514,9,ambient,0
2017-6119,6119,9.24E+01,yes,7.73E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 second,461,3,cold,0
2017-6165,6165,5.25E+01,yes,6.24E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,469,7,ambient,0
2017-6144,6144,1.40E+03,yes,5.65E+00,0,0,pos,0.00E+00,ng/ul,3/27/18 third,477,7,ambient,0
2017-6114,6114,1.47E+02,yes,1.41E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,484,8,ambient,0
2017-6135,6135,2.30E+02,yes,9.44E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,492,8,ambient,0
2017-6112,6112,5.13E+02,yes,7.33E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,499,9,ambient,0
2017-6131,6131,2.44E+02,yes,4.53E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,507,9,ambient,0
2017-6179,6179,4.72E+01,yes,4.88E+00,0,0,pos,0.534,ng/ul,3/29/18 second,515,9,ambient,0
2017-6182,6182,1.43E+02,yes,2.21E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,462,7,ambient,0
2017-6181,6181,1.46E+02,yes,6.32E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 second,470,7,ambient,0
2017-6212,6212,1.20E+05,yes,1.25E+04,0,0,pos,1.98,ng/ul,4/24/18 first,485,8,ambient,0
2017-6139,6139,1.22E+02,yes,5.26E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,493,8,ambient,0
2017-6137,6137,6.63E+02,yes,8.79E+01,0,0,pos,0.00E+00,ng/ul,3/27/18 third,500,9,ambient,0
2017-6159,6159,4.55E+02,yes,4.54E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,508,9,ambient,0
2017-6170,6170,5.64E+02,yes,3.95E-01,0,0,pos,0.00E+00,ng/ul,4/24/18 second,516,9,ambient,0
2017-6192,6192,1.95E+03,yes,4.69E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 second,463,7,ambient,0
2017-6107,6107,1.21E+02,yes,5.09E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 second,471,7,ambient,0
2017-6201,6201,4.45E+02,yes,5.80E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,478,7,ambient,0
2017-6169,6169,6.43E+02,yes,3.89E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,486,8,ambient,0
2017-6183,6183,3.13E+02,yes,5.16E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,494,8,ambient,0
2017-6195,6195,1.60E+02,yes,3.83E+00,0,0,pos,0.00E+00,ng/ul,3/27/18 third,501,9,ambient,0
2017-6206,6206,5.44E+02,yes,4.05E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,509,9,ambient,0
2017-6172,6172,1.07E+02,yes,9.52E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 second,517,1,cold,0
2017-6124,6124,1.63E+02,yes,7.13E+00,0,0,pos,0.00E+00,ng/ul,3/29/18 second,464,7,ambient,0
2017-6121,6121,6.87E+02,yes,2.09E+00,0,0,pos,0.00E+00,ng/ul,3/27/18 third,472,7,ambient,0
2017-6143,6143,2.03E+02,yes,1.08E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,479,7,ambient,0
2017-6185,6185,3.26E+02,yes,5.48E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,487,8,ambient,0
2017-6202,6202,2.85E+02,yes,3.41E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,495,8,ambient,0
2017-6146,6146,7.63E+02,yes,2.30E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,502,9,ambient,0
2017-6186,6186,2.53E+02,yes,2.01E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,510,9,ambient,0
2017-6134,6134,1.22E+02,yes,1.41E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,465,7,ambient,0
2017-6123,6123,2.13E+02,yes,2.93E+01,0,0,pos,0.00E+00,ng/ul,3/27/18 third,473,7,ambient,0
2017-6109,6109,4.71E+02,yes,2.95E+00,0,0,pos,0.00E+00,ng/ul,3/27/18 third,480,7,ambient,0
2017-6110,6110,1.77E+02,yes,7.76E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,488,8,ambient,0
2017-6125,6125,2.76E+02,yes,1.93E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,503,9,ambient,0
2017-6150,6150,6.40E+01,yes,4.91E+00,0,0,pos,0.212,ng/ul,4/24/18 first,511,9,ambient,0
2017-6168,6168,2.07E+02,yes,4.95E+01,0,0,pos,0.00E+00,ng/ul,3/29/18 second,466,7,ambient,0
2017-6142,6142,1.86E+03,yes,4.81E+02,0,0,pos,0.00E+00,ng/ul,3/29/18 second,474,7,ambient,0
2017-6211,6211,4.72E+02,yes,6.70E+01,0,0,pos,0.00E+00,ng/ul,3/27/18 third,481,7,ambient,0
2017-6122,6122,8.62E+02,yes,8.26E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,489,8,ambient,0
2017-6166,6166,2.52E+02,yes,1.11E+01,0,0,pos,0.00E+00,ng/ul,4/24/18 first,496,8,ambient,0
2017-6214,6214,4.94E+03,yes,1.27E+02,0,0,pos,0.00E+00,ng/ul,4/24/18 first,504,9,ambient,0
2017-6161,6161,1.98E+02,yes,5.43E+00,0,0,pos,0.00E+00,ng/ul,4/24/18 first,512,9,ambient,0