X1,FRP No.,FRP,infection_cpcr-d0,maturity,CW,SC,CH,holdtank,TREATMENT,lowtag,hightag,treattank,where,tube9,tube12,tube26,Avg_startq_day01,Avg_startq_day26,d0_infection_status,temperature_treatment,RNAday9_ng/ul,sample_vol(ul)_d9,totalRNA_d9_ng,Pool_d9,RNAday12_ng/ul,sample_vol(ul)_d12,totalRNA_d12_ng,Pool_d12,RNAday26_ng/ul,sample_vol(ul)_d26,totalRNA_d26_ng,Pool_d26,PICK,,,,,,,,,,,
30,2017-6130,6130,0,I,111.4,3,11.8,8A,A,3134,3208,8,drain end,47,339,498,1,138,0,ambient,7.32,15,109.8,1,0.88,45,39.6,3,1.8,45,81,9,x,,,,,,,,,,,
65,2017-6165,6165,0,I,113.2,3,19.5,7A,A,3362,3539,7,drain end,55,360,469,5,73,0,ambient,1.16,15,17.4,1,1.55,45,69.75,3,5.16,45,232.2,9,x,,,,,,,,,,,
66,2017-6166,6166,0,I,91.8,3,11.3,8A,A,3378,3534,8,drain end,21,349,496,0,135,0,ambient,1.72,15,25.8,1,5.56,45,250.2,3,5.88,45,264.6,9,X,,,,,,,,,,,
81,2017-6181,6181,0,I,133.4,3,20.4,7A,A,3616,3846,7,drain end,175,355,470,1,125,0,ambient,1.64,15,24.6,1,3.32,45,149.4,3,5.28,45,237.6,9,x,,,,,,,,,,,
85,2017-6185,6185,0,I,124.8,3,21.8,8A,A,3630,3824,8,drain end,145,336,487,7,180,0,ambient,4.4,15,66,1,2.62,45,117.9,3,3.51,45,157.95,9,,,,,,,,,,,,
86,2017-6186,6186,0,I,129.4,3,20.8,9A,A,3638,3843,9,drain end,171,306,510,0,135,0,ambient,3.41,15,51.15,1,3.03,45,136.35,3,1.62,45,72.9,9,x,,,,,,,,,,,
27,2017-6127,6127,0,I,108.4,3,19.3,8A,A,3110,3255,8,drain end,37,335,497,200,80,0,ambient,NA,15,,1,3.46,45,155.7,3,4.36,45,196.2,9,,,,,,,,,,,,
31,2017-6131,6131,0,I,107.4,3,19.1,9A,A,3147,3563,9,drain end,38,314,507,3,1358,0,ambient,NA,15,,1,1.42,45,63.9,3,0.88,45,39.6,9,,,,,,,,,,,,
42,2017-6142,6142,0,I,96.5,3,14.3,7A,A,3203,3230,7,drain end,65,346,474,3250,2000,0,ambient,NA,15,,1,1.8,45,81,3,NA,45,#VALUE!,9,,,,,,,,,,,,
46,2017-6146,6146,0,I,106.1,4,19,9A,A,3237,3399,9,drain end,12,309,502,NA,518,0,ambient,NA,15,,1,4,45,180,3,2.18,45,98.1,9,,,,,,,,,,,,
13,2017-6113,6113,0,I,126.5,3,19.1,1C,C,3062,3121,1,drain end,78,214,419,20,25,0,cold,2.19,15,32.85,1,3.55,45,159.75,4,5.64,45,253.8,10,x,,,,,,,,,,,
19,2017-6119,6119,0,I,97.7,3,13.4,3C,C,3081,3210,3,drain end,153,258,461,5,95,0,cold,2.02,15,30.3,1,3.86,45,173.7,4,NA,45,#VALUE!,10,,,,,,,,,,,,
32,2017-6132,6132,0,I,133.7,3,22.1,1C,C,3149,3436,1,drain end,88,205,406,1,83,0,cold,2.81,15,42.15,1,1.64,45,73.8,4,NA,45,#VALUE!,10,,,,,,,,,,,,
33,2017-6133,6133,0,I,103.6,4,11.8,2C,C,3160,3273,2,drain end,36,223,434,1,225,0,cold,4.16,15,62.4,1,8.24,45,370.8,4,3.9,45,175.5,10,x,,,,,,,,,,,
38,2017-6138,6138,0,I,118.8,3,18,3C,C,3173,3495,3,drain end,80,247,453,8,70,0,cold,2.66,15,39.9,1,6.44,45,289.8,4,6.16,45,277.2,10,x,,,,,,,,,,,
54,2017-6154,6154,0,I,124.3,3,19.3,2C,C,3284,3570,2,drain end,68,232,436,2,90,0,cold,2.1,15,31.5,1,2.38,45,107.1,4,5.04,45,226.8,10,x,,,,,,,,,,,
67,2017-6167,6167,0,I,110.7,3,12.4,1C,C,3382,3481,1,drain end,45,207,414,467,650,0,cold,5.4,15,,1,1.88,45,84.6,4,7.52,45,338.4,10,,,,,,,,,,,,
71,2017-6171,6171,0,I,127.4,3,19.3,2C,C,3400,3464,2,drain end,73,221,427,375000,10,0,cold,5.28,15,,1,NA,45,#VALUE!,4,NA,45,#VALUE!,10,,,,,,,,,,,,
17,2017-6117,6117,0,I,116.8,3,19.3,2C,C,3074,3282,2,drain end,42,225,440,2,95,0,cold,NA,15,,1,1.76,45,79.2,4,1.77,45,79.65,10,X,,,,,,,,,,,
47,2017-6147,6147,0,I,119.5,4,18.3,1C,C,3241,3309,1,drain end,30,204,421,8,450,0,cold,NA,15,,1,3.6,45,162,4,3.64,45,163.8,10,,,,,,,,,,,,
80,2017-6180,6180,0,I,125.4,3,19.5,6W,W,3610,3813,6,anywhere,149,370,402,3,100,0,warm,2.51,15,37.65,1,1.8,45,81,4,1.46,45,65.7,NA,,,,,,,,,,,,
116,2017-6216,6216,0,I,113,4,20.1,4W,W,3015,3344,4,anywhere,40,267,.,4,NA,0,warm,1.75,15,26.25,1,4.88,45,219.6,5,NA,45,#VALUE!,NA,X,,,,,,,,,,,
126,2017-6226,6226,0,I,124.8,3,18.8,4W,W,3085,3233,4,drain end,85,260,.,2,NA,0,warm,10.8,15,162,1,8.28,45,372.6,5,NA,45,#VALUE!,NA,x,,,,,,,,,,,
129,2017-6229,6229,0,I,109.4,3,13.9,6W,W,3090,3496,6,drain end,89,379,.,1,NA,0,warm,4.96,15,74.4,1,3.94,45,177.3,5,NA,45,#VALUE!,NA,x,,,,,,,,,,,
136,2017-6236,6236,0,I,118.7,3,19,6W,W,3195,3350,6,anywhere,157,361,.,2,NA,0,warm,7.6,15,114,1,6.52,45,293.4,5,NA,45,#VALUE!,NA,x,,,,,,,,,,,
146,2017-6246,6246,0,I,116,3,18.1,4W,W,3299,3383,4,anywhere,3,265,.,5,NA,0,warm,7.2,15,108,1,7.24,45,325.8,5,NA,45,#VALUE!,NA,x,,,,,,,,,,,
147,2017-6247,6247,0,I,118.4,3,19.4,5W,W,3315,3500,5,anywhere,152,287,.,81,NA,0,warm,2.46,15,,1,5.52,45,248.4,5,NA,45,#VALUE!,NA,,,,,,,,,,,,
34,2017-6134,6134,1,I,115.1,3,14.6,7A,A,3165,3254,7,drain end,77,353,465,200,100,1,ambient,1.71,15,25.65,2,2.68,45,120.6,6,NA,45,#VALUE!,NA,,,,,,,,,,,,
35,2017-6135,6135,1,I,130.8,4,30.1,8A,A,3166,3433,8,drain end,4,327,492,1,110,1,ambient,3.52,15,,2,2.01,45,90.45,6,1.08,45,48.6,11,,,,,,,,,,,,
44,2017-6144,6144,1,I,128,3,17,7A,A,3225,3507,7,drain end,14,348,477,500,717,1,ambient,4.92,15,73.8,2,5.76,45,259.2,6,1.84,45,82.8,11,x,,,,,,,,,,,
45,2017-6145,6145,1,I,112.3,3,15.3,9A,A,3232,3323,9,drain end,59,305,505,50,113,1,ambient,2.34,15,,2,2.44,45,109.8,6,NA,45,#VALUE!,11,,,,,,,,,,,,
59,2017-6159,6159,1,I,117,3,16.4,9A,A,3311,3551,9,drain end,26,313,508,350,248,1,ambient,1.38,15,20.7,2,2,45,90,6,NA,45,#VALUE!,11,,,,,,,,,,,,
84,2017-6184,6184,1,I,121.9,3,17.3,9A,A,3628,3809,9,drain end,148,318,513,275,200,1,ambient,5.08,15,76.2,2,2.84,45,127.8,6,1.44,45,64.8,11,x,,,,,,,,,,,
92,2017-6192,6192,1,I,132.2,3,21.7,7A,A,3658,3860,7,drain end,178,359,463,300,2000,1,ambient,26,15,390,2,5.68,45,255.6,6,2.83,45,127.35,11,x,,,,,,,,,,,
93,2017-6193,6193,1,I,130.5,3,19,8A,A,3662,3866,8,drain end,174,333,482,350,218,1,ambient,3.36,15,50.4,2,6.08,45,273.6,6,5.12,45,230.4,11,x,,,,,,,,,,,
114,2017-6214,6214,1,I,129.1,3,18.9,9A,A,3905,3920,9,drain end,107,311,504,132500,4000,1,ambient,2.59,15,38.85,2,2.05,45,92.25,6,15.5,45,697.5,11,X,,,,,,,,,,,
55,2017-6155,6155,1,I,93.1,3,13.6,7A,A,3286,3371,7,drain end,66,358,476,100,867,1,ambient,NA,15,,2,3.71,45,166.95,6,NA,45,#VALUE!,11,,,,,,,,,,,,
3,2017-6103,6103,1,I,83.5,3,10.8,1C,C,3007,3119,1,drain end,46,215,409,150,200,1,cold,5.04,15,75.6,2,6.68,45,300.6,7,8.04,45,361.8,12,x,,,,,,,,,,,
98,2017-6198,6198,1,I,129.6,3,18.5,2C,C,3668,3870,2,drain end,154,230,428,5000,250,1,cold,1.32,15,19.8,2,6.2,45,279,7,2.75,45,123.75,12,X,,,,,,,,,,,
107,2017-6207,6207,1,I,119.3,3,19,1C,C,3707,3913,1,drain end,128,202,412,200,104,1,cold,5.32,15,79.8,2,4.68,45,210.6,7,5,45,225,12,x,,,,,,,,,,,
108,2017-6208,6208,1,I,126.2,3,19.1,2C,C,3710,3723,2,drain end,106,229,435,150000,1000,1,cold,3.1,15,46.5,2,2.12,45,95.4,7,0.92,45,41.4,12,,,,,,,,,,,,
109,2017-6209,6209,1,I,126.8,3,20,3C,C,3714,3716,3,drain end,125,251,444,550,200,1,cold,5.88,15,88.2,2,4.8,45,216,7,8.24,45,370.8,12,x,,,,,,,,,,,
115,2017-6215,6215,1,I,.,.,.,3C,C,3423,3516,3,drain end,23,253,457,300,300,1,cold,1.16,15,17.4,2,0.84,45,37.8,7,3.58,45,161.1,12,x,,,,,,,,,,,
29,2017-6129,6129,1,I,114.1,3,16.8,5W,W,3129,3137,5,drain end,86,299,403,3500,8000,1,warm,3.09,15,46.35,2,NA,45,#VALUE!,8,2.64,45,118.8,NA,,,,,,,,,,,,
119,2017-6219,6219,1,I,125.1,3,18.7,4W,W,3043,3135,4,anywhere,116,276,.,650,NA,1,warm,4.2,15,63,2,4.2,45,189,8,NA,45,#VALUE!,NA,x,,,,,,,,,,,
120,2017-6220,6220,1,I,82,3,6.7,5W,W,3047,3278,5,anywhere,162,293,.,283,NA,1,warm,2.88,15,43.2,2,8.52,45,383.4,8,NA,45,#VALUE!,NA,x,,,,,,,,,,,
121,2017-6221,6221,1,I,113.2,3,15.7,6W,W,3051,3535,6,anywhere,16,380,.,150,NA,1,warm,10.2,15,153,2,3.03,45,136.35,8,NA,45,#VALUE!,NA,x,,,,,,,,,,,
124,2017-6224,6224,1,I,122,3,17.1,4W,W,3083,3429,4,drain end,74,277,.,55,NA,1,warm,4.6,15,,2,9.32,45,419.4,8,NA,45,#VALUE!,NA,x,,,,,,,,,,,
125,2017-6225,6225,1,I,118.2,3,15.2,5W,W,3084,3377,5,drain end,92,298,.,150000,NA,1,warm,6.56,15,98.4,2,2.1,45,94.5,8,NA,45,#VALUE!,NA,,,,,,,,,,,,
127,2017-6227,6227,1,I,116.7,3,17,6W,W,3086,3155,6,drain end,83,366,.,60,NA,1,warm,3.44,15,,2,2.41,45,108.45,8,NA,45,#VALUE!,NA,,,,,,,,,,,,
110,2017-6210,6210,1,I,127.7,3,19,4W,W,3718,3914,4,anywhere,120,274,401,4750,3500,1,warm,NA,15,,2,2.44,45,109.8,8,2.18,45,98.1,NA,X,,,,,,,,,,,