Uniq_ID,trtmnt_tank,sample_day,infection_status,maturity,RNA_ng.ul,total-yield_ng,elution_vol_ul,org_sample_ul
6104_458_26,cold,26,0,I,0.92,4.6,10,all
6107_471_26,ambient,26,0,M,1.53,7.65,10,all
6164_460_26,cold,26,1,I,1.55,7.75,10,all
6118_430_26,cold,26,1,I,1.88,9.4,10,all
6190_452_26,cold,26,3,M,2.64,13.2,10,all
6126_418_26,cold,26,1,I,2.84,14.2,10,all
6200_416_26,cold,26,3,M,2.94,14.7,10,all
6148_405_26,cold,26,1,I,3.12,15.6,10,all
6128_441_26,cold,26,1,I,3.15,15.75,10,all
6182_462_26,ambient,26,1,I,3.3,16.5,10,all
6116_417_26,cold,26,1,I,3.51,17.55,10,all
6149_437_26,cold,26,1,I,3.82,19.1,10,all
6180_402_26,warm,26,0,I,4.36,21.8,10,all
6108_455_26,cold,26,1,I,4.88,24.4,10,all
6151_243_12,cold,12,1,I,2.3,29.9,15,35
6120_459_26,cold,26,1,I,6.48,32.4,10,all
6148_56_9,cold,9,1,I,0.896,35.84,50,all
6176_329_12,ambient,12,0,M,2.9,37.7,15,35
6215_253_12,cold,12,1,#N/A,0.84,37.8,50,all
6213_506_26,ambient,26,0,I,1.54,38.5,30,all
6130_339_12,ambient,12,0,I,0.88,39.6,50,all
6131_507_26,ambient,26,0,I,0.88,39.6,50,all
6176_48_9,ambient,9,0,M,3.1,40.3,15,35
6208_435_26,cold,26,1,I,0.92,41.4,50,all
6135_492_26,ambient,26,1,M,1.08,48.6,50,all
6202_109_9,ambient,9,1,I,3.76,48.88,15,35
6104_41_9,cold,9,0,I,3.95,51.35,15,35
6191_442_26,cold,26,0,I,4,52,14,all
6165_55_9,ambient,9,0,I,1.16,52.2,50,all
6215_23_9,cold,9,1,I,1.16,52.2,50,all
6139_493_26,ambient,26,3,M,4.02,52.26,15,70
6158_101_9,ambient,9,1,I,4.18,54.34,15,35
6190_101_9,cold,9,3,M,4.18,54.34,15,35
6204_448_26,cold,26,3,M,11.4,57,10,all
6102_18_9,cold,9,0,I,4.46,57.98,15,70
6198_154_9,cold,9,1,I,1.32,59.4,50,all
6110_135_9,ambient,9,0,I,4.6,59.8,14,15
6110_135_9,ambient,9,0,I,4.6,59.8,14,15
6170_516_26,ambient,26,1,I,4.6,59.8,14,10
6159_26_9,ambient,9,1,I,1.38,62.1,50,all
6123_473_26,ambient,26,0,I,4.8,62.4,14,all
6131_314_12,ambient,12,0,I,1.42,63.9,50,all
6184_513_26,ambient,26,1,I,1.44,64.8,50,all
6180_402_26,warm,26,0,I,1.46,65.7,50,all
6140_237_12,cold,12,1,I,5.06,65.78,15,35
6250_294_12,warm,12,1,I,5.23,67.99,15,35
6210_401_26,warm,26,1,I,5.27,68.51,15,70
6160_426_26,cold,26,0,M,5.28,68.64,14,all
6165_360_12,ambient,12,0,I,1.55,69.75,50,all
6151_19_9,cold,9,1,I,5.45,70.85,15,35
6243_173_9,warm,9,1,I,4.77,71.55,15,35
6212_485_26,ambient,26,1,I,5.52,71.76,14,all
6186_510_26,ambient,26,0,I,1.62,72.9,50,all
6132_205_12,cold,12,0,I,1.64,73.8,50,all
6181_175_9,ambient,9,0,I,1.64,73.8,50,all
6134_77_9,ambient,9,1,I,1.71,76.95,50,all
6166_21_9,ambient,9,0,I,1.72,77.4,50,all
6216_40_9,warm,9,0,I,1.75,78.75,50,all
6117_225_12,cold,12,0,I,1.76,79.2,50,all
6117_440_26,cold,26,0,I,1.77,79.65,50,all
6204_114_9,cold,9,3,M,5.37,80.55,15,NA
6205_121_9,ambient,9,0,I,6.23,80.99,15,35
6130_498_26,ambient,26,0,I,1.8,81,50,all
6142_346_12,ambient,12,0,I,1.8,81,50,all
6180_370_12,warm,12,0,I,1.8,81,50,all
6126_201_12,cold,12,1,I,6.27,81.51,15,35
6152_467_26,ambient,26,0,M,5.45,81.75,15,NA
6144_477_26,ambient,26,1,I,1.84,82.8,50,all
6278_413_26,cold,26,1,I,6.38,82.94,15,70
6167_207_12,cold,12,0,I,1.88,84.6,50,all
6169_486_26,ambient,26,1,I,5.87,88.05,15,NA
6109_480_26,ambient,26,0,I,6.86,89.18,14,all
6159_313_12,ambient,12,1,I,2,90,50,all
6102_439_26,cold,26,0,I,6.94,90.22,14,all
6135_327_12,ambient,12,1,M,2.01,90.45,50,all
6119_153_9,cold,9,0,I,2.02,90.9,50,all
6170_516_26,ambient,26,1,I,7,91,14,50
6214_311_12,ambient,12,1,I,2.05,92.25,50,all
6175_447_26,cold,26,0,I,7.2,93.6,14,all
6154_68_9,cold,9,0,I,2.1,94.5,50,all
6225_298_12,warm,12,1,I,2.1,94.5,50,all
6188_443_26,cold,26,1,I,7.28,94.64,14,all
6208_229_12,cold,12,1,I,2.12,95.4,50,all
6204_114_9,cold,9,3,M,6.37,95.55,15,35
6271_295_12,warm,12,0,M,7.54,98.02,15,70
6146_502_26,ambient,26,0,I,2.18,98.1,50,all
6210_401_26,warm,26,1,I,2.18,98.1,50,all
6252_99_9,ambient,9,3,M,6.56,98.4,15,35
6113_78_9,cold,9,0,I,2.19,98.55,50,all
6212_485_26,ambient,26,1,I,7.61,98.93,15,70
6152_344_12,ambient,12,0,M,6.65,99.75,15,NA
6143_343_12,ambient,12,0,M,7.73,100.49,15,35
6179_34_9,ambient,9,0,M,7.84,101.92,15,35
6258_140_9,warm,9,3,M,6.92,103.8,15,35
6145_59_9,ambient,9,1,I,2.34,105.3,50,all
6154_232_12,cold,12,0,I,2.38,107.1,50,all
6120_165_9,cold,9,1,I,7.15,107.25,15,35
6279_13_9,cold,9,1,I,8.29,107.77,15,70
6227_366_12,warm,12,1,I,2.41,108.45,50,all
6187_431_26,cold,26,1,I,8.38,108.94,14,all
6145_305_12,ambient,12,1,I,2.44,109.8,50,all
6210_274_12,warm,12,1,I,2.44,109.8,50,all
6149_64_9,cold,9,1,I,7.33,109.95,15,35
6251_376_12,warm,12,1,I,8.47,110.11,15,35
6254_296_12,warm,12,0,I,8.49,110.37,15,35
6247_152_9,warm,9,0,I,2.46,110.7,50,all
6180_149_9,warm,9,0,I,2.51,112.95,50,all
6141_451_26,cold,26,1,I,4.56,114,30,all
6214_107_9,ambient,9,1,I,2.59,116.55,50,all
6185_336_12,ambient,12,0,I,2.62,117.9,50,all
6115_307_12,ambient,12,1,I,7.89,118.35,15,NA
6114_484_26,ambient,26,1,I,9.12,118.56,14,all
6129_403_26,warm,26,1,I,2.64,118.8,50,all
6138_80_9,cold,9,0,I,2.66,119.7,50,all
6183_494_26,ambient,26,1,I,2.66,119.7,50,all
6134_353_12,ambient,12,1,I,2.68,120.6,50,all
6161_302_12,ambient,12,0,M,8.04,120.6,15,NA
6183_322_12,ambient,12,1,I,2.69,121.05,50,all
6195_304_12,ambient,12,1,I,2.69,121.05,50,all
6243_272_12,warm,12,1,I,9.42,122.46,15,35
6198_428_26,cold,26,1,I,2.75,123.75,50,all
6132_88_9,cold,9,0,I,2.81,126.45,50,all
6110_488_26,ambient,26,0,I,9.74,126.62,14,all
6192_463_26,ambient,26,1,I,2.83,127.35,50,all
6184_318_12,ambient,12,1,I,2.84,127.8,50,all
6121_472_26,ambient,26,1,I,8.57,128.55,15,NA
6123_473_26,ambient,26,0,I,9.91,128.83,15,70
6220_162_9,warm,9,1,I,2.88,129.6,50,all
6173_63_9,cold,9,1,I,10,130,15,35
6215_457_26,cold,26,1,#N/A,10,130,15,70
6108_455_26,cold,26,1,I,10.2,132.6,15,70
6180_402_26,warm,26,0,I,10.3,133.9,15,70
6186_306_12,ambient,12,0,I,3.03,136.35,50,all
6221_380_12,warm,12,1,I,3.03,136.35,50,all
6134_465_26,ambient,26,1,I,9.1,136.5,15,NA
6250_72_9,warm,9,1,I,9.16,137.4,15,35
6129_86_9,warm,9,1,I,3.09,139.05,50,all
6208_106_9,cold,9,1,I,3.1,139.5,50,all
6252_330_12,ambient,12,3,M,11,143,15,70
6171_221_12,cold,12,0,I,3.22,144.9,50,all
6212_132_9,ambient,9,1,I,11.3,146.9,15,70
6279_411_26,cold,26,1,I,11.3,146.9,15,70
6181_355_12,ambient,12,0,I,3.32,149.4,50,all
6191_95_9,cold,9,0,I,11.5,149.5,15,35
6193_174_9,ambient,9,1,I,3.36,151.2,50,all
6275_372_12,warm,12,3,M,10.1,151.5,15,NA
6127_37_9,ambient,9,0,I,3.38,152.1,50,all
6136_321_12,ambient,12,0,M,11.7,152.1,15,35
6153_11_9,cold,9,0,M,11.7,152.1,15,35
6160_7_9,cold,9,0,M,11.8,153.4,15,35
6186_171_9,ambient,9,0,I,3.41,153.45,50,all
6195_501_26,ambient,26,1,I,3.41,153.45,50,all
6227_83_9,warm,9,1,I,3.44,154.8,50,all
6127_335_12,ambient,12,0,I,3.46,155.7,50,all
6204_252_12,cold,12,3,M,10.5,157.5,15,35
6185_487_26,ambient,26,0,I,3.51,157.95,50,all
6135_4_9,ambient,9,1,M,3.52,158.4,50,all
6103_409_26,cold,26,1,I,12.2,158.6,15,70
6258_261_12,warm,12,3,M,10.6,159,15,NA
6272_338_12,ambient,12,0,I,10.6,159,15,NA
6113_214_12,cold,12,0,I,3.55,159.75,50,all
6101_415_26,cold,26,0,I,12.3,159.9,15,70
6215_457_26,cold,26,1,#N/A,3.58,161.1,50,all
6147_204_12,cold,12,0,I,3.6,162,50,all
6178_218_12,cold,12,0,M,12.5,162.5,15,35
6147_421_26,cold,26,0,I,3.64,163.8,50,all
6276_50_9,ambient,9,0,I,12.6,163.8,15,35
6155_358_12,ambient,12,1,I,3.71,166.95,50,all
6171_427_26,cold,26,0,I,3.71,166.95,50,all
6162_220_12,cold,12,1,I,12.9,167.7,15,35
6119_461_26,cold,26,0,I,11.2,168,15,all
6206_319_12,ambient,12,1,I,11.2,168,15,NA
6106_241_12,cold,12,0,M,13,169,15,35
6222_1_9,warm,9,0,M,13,169,15,35
6151_454_26,cold,26,1,I,11.4,171,15,NA
6275_110_9,warm,9,3,M,11.4,171,15,35
6214_504_26,ambient,26,1,I,13.2,171.6,15,70
6194_98_9,cold,9,0,M,13.3,172.9,15,70
6119_258_12,cold,12,0,I,3.86,173.7,50,all
6106_5_9,cold,9,0,M,13.4,174.2,15,35
6120_248_12,cold,12,1,I,13.4,174.2,15,35
6240_362_12,warm,12,1,I,13.4,174.2,15,35
6133_434_26,cold,26,0,I,3.9,175.5,50,all
6109_351_12,ambient,12,0,I,13.6,176.8,15,70
6213_108_9,ambient,9,0,I,13.6,176.8,15,35
6229_379_12,warm,12,0,I,3.94,177.3,50,all
6194_235_12,cold,12,0,M,13.7,178.1,15,70
6140_429_26,cold,26,1,I,12,180,15,NA
6146_309_12,ambient,12,0,I,4,180,50,all
6175_67_9,cold,9,0,I,13.9,180.7,15,35
6170_516_26,ambient,26,1,I,14,182,14,50
6153_404_26,cold,26,0,M,12.2,183,15,all
6265_155_9,warm,9,0,I,12.2,183,15,35
6248_378_12,warm,12,0,I,14.1,183.3,15,35
6132_406_26,cold,26,0,I,12.3,184.5,15,NA
6150_312_12,ambient,12,0,M,14.2,184.6,15,35
6125_144_9,ambient,9,1,I,14.3,185.9,15,35
6133_36_9,cold,9,0,I,4.16,187.2,50,all
6231_102_9,warm,9,1,I,14.5,188.5,15,35
6219_116_9,warm,9,1,I,4.2,189,50,all
6219_276_12,warm,12,1,I,4.2,189,50,all
6239_166_9,warm,9,1,I,14.7,191.1,15,35
6136_91_9,ambient,9,0,M,14.8,192.4,15,35
6127_497_26,ambient,26,0,I,4.36,196.2,50,all
6141_123_9,cold,9,1,I,13.1,196.5,15,NA
6190_256_12,cold,12,3,M,13.1,196.5,15,35
6205_475_26,ambient,26,0,I,13.1,196.5,15,NA
6264_268_12,warm,12,0,I,15.2,197.6,15,35
6185_145_9,ambient,9,0,I,4.4,198,50,all
6278_147_9,cold,9,1,I,15.3,198.9,15,70
6158_483_26,ambient,26,1,I,13.3,199.5,15,NA
6161_53_9,ambient,9,0,M,15.5,201.5,15,35
6212_334_12,ambient,12,1,I,15.6,202.8,15,70
6136_91_9,ambient,9,0,M,15.7,204.1,15,35
6197_449_26,cold,26,0,M,15.9,206.7,14,all
6224_74_9,warm,9,1,I,4.6,207,50,all
6139_332_12,ambient,12,3,M,16,208,15,70
6140_8_9,cold,9,1,I,16,208,15,35
6206_103_9,ambient,9,1,I,16,208,15,35
6207_202_12,cold,12,1,I,4.68,210.6,50,all
6200_208_12,cold,12,3,M,14.1,211.5,15,35
6249_96_9,warm,9,1,I,14.1,211.5,15,35
6201_163_9,ambient,9,1,I,16.3,211.9,15,35
6218_373_12,warm,12,3,I,14.3,214.5,15,NA
6108_255_12,cold,12,1,I,16.6,215.8,15,70
6178_124_9,cold,9,0,M,16.6,215.8,15,35
6263_368_12,warm,12,1,I,16.6,215.8,15,35
6209_251_12,cold,12,1,I,4.8,216,50,all
6264_180_9,warm,9,0,I,14.4,216,15,35
6217_129_9,warm,9,0,I,16.7,217.1,15,70
6162_407_26,cold,26,1,I,14.5,217.5,15,all
6216_267_12,warm,12,0,I,4.88,219.6,50,all
6197_161_9,cold,9,0,M,16.9,219.7,15,70
6144_14_9,ambient,9,1,I,4.92,221.4,50,all
6229_89_9,warm,9,0,I,4.96,223.2,50,all
6230_292_12,warm,12,0,M,17.2,223.6,15,35
6116_417_26,cold,26,1,I,17.3,224.9,14,all
6168_357_12,ambient,12,1,I,17.3,224.9,15,35
6207_412_26,cold,26,1,I,5,225,50,all
6237_17_9,warm,9,1,I,17.4,226.2,15,35
6103_46_9,cold,9,1,I,5.04,226.8,50,all
6154_436_26,cold,26,0,I,5.04,226.8,50,all
6195_150_9,ambient,9,1,I,5.04,226.8,50,all
6184_148_9,ambient,9,1,I,5.08,228.6,50,all
6143_479_26,ambient,26,0,M,15.3,229.5,15,NA
6155_476_26,ambient,26,1,I,15.3,229.5,15,NA
6231_278_12,warm,12,1,I,17.7,230.1,15,35
6193_482_26,ambient,26,1,I,5.12,230.4,50,all
6179_315_12,ambient,12,0,M,17.8,231.4,15,35
6198_428_26,cold,26,1,I,17.8,231.4,14,all
6274_122_9,warm,9,1,I,17.8,231.4,15,70
6165_469_26,ambient,26,0,I,5.16,232.2,50,all
6165_469_26,ambient,26,0,I,5.16,232.2,50,all
6201_341_12,ambient,12,1,I,17.9,232.7,15,35
6211_481_26,ambient,26,1,I,17.9,232.7,15,70
6273_280_12,warm,12,1,I,17.9,232.7,15,70
6191_227_12,cold,12,0,I,18,234,15,35
6196_408_26,cold,26,1,I,18,234,14,all
6164_71_9,cold,9,1,I,18.2,236.6,15,35
6171_73_9,cold,9,0,I,5.28,237.6,50,all
6181_470_26,ambient,26,0,I,5.28,237.6,50,all
6260_374_12,warm,12,0,M,18.3,237.9,15,35
6207_128_9,cold,9,1,I,5.32,239.4,50,all
6141_249_12,cold,12,1,I,18.6,241.8,15,35
6187_158_9,cold,9,1,I,18.6,241.8,15,35
6199_151_9,cold,9,1,I,18.6,241.8,15,35
6167_45_9,cold,9,0,I,5.4,243,50,all
6124_347_12,ambient,12,0,M,18.8,244.4,15,70
6201_478_26,ambient,26,1,I,9.88,247,30,all
6256_283_12,warm,12,1,I,19,247,15,35
6158_324_12,ambient,12,1,I,16.5,247.5,15,NA
6123_345_12,ambient,12,0,I,19.1,248.3,15,70
6247_287_12,warm,12,0,I,5.52,248.4,50,all
6157_224_12,cold,12,0,M,19.2,249.6,15,35
6166_349_12,ambient,12,0,I,5.56,250.2,50,all
6211_349_12,ambient,12,1,I,5.56,250.2,50,all
6279_219_12,cold,12,1,I,19.3,250.9,15,70
6112_499_26,ambient,26,0,I,19.5,253.5,15,70
6113_419_26,cold,26,0,I,5.64,253.8,50,all
6192_359_12,ambient,12,1,I,5.68,255.6,50,all
6128_112_9,cold,9,1,I,17.1,256.5,15,NA
6109_480_26,ambient,26,0,I,19.8,257.4,15,70
6197_449_26,cold,26,0,M,19.8,257.4,15,70
6245_126_9,warm,9,1,I,17.2,258,15,NA
6101_206_12,cold,12,0,I,19.9,258.7,15,70
6107_471_26,ambient,26,0,M,19.9,258.7,15,70
6144_348_12,ambient,12,1,I,5.76,259.2,50,all
6272_111_9,ambient,9,0,I,20,260,15,35
6267_159_9,warm,9,1,I,20.1,261.3,15,70
6187_239_12,cold,12,1,I,20.3,263.9,15,35
6174_433_26,cold,26,1,I,17.6,264,15,all
6166_496_26,ambient,26,0,I,5.88,264.6,50,all
6209_125_9,cold,9,1,I,5.88,264.6,50,all
6107_350_12,ambient,12,0,M,20.4,265.2,15,70
6112_28_9,ambient,9,0,I,20.4,265.2,15,70
6126_79_9,cold,9,1,I,17.8,267,15,35
6175_246_12,cold,12,0,I,20.7,269.1,15,35
6257_363_12,warm,12,1,I,20.7,269.1,15,35
6208_435_26,cold,26,1,I,20.8,270.4,14,all
6115_33_9,ambient,9,1,I,21,273,15,70
6193_333_12,ambient,12,1,I,6.08,273.6,50,all
6269_364_12,warm,12,1,I,21.1,274.3,15,70
6157_423_26,cold,26,0,M,25,275,12,all
6156_24_9,cold,9,0,I,21.2,275.6,15,35
6168_466_26,ambient,26,1,I,18.4,276,15,NA
6111_356_12,ambient,12,1,I,21.3,276.9,15,70
6138_453_26,cold,26,0,I,6.16,277.2,50,all
6198_230_12,cold,12,1,I,6.2,279,50,all
6102_439_26,cold,26,0,I,21.6,280.8,15,70
6118_240_12,cold,12,1,I,21.6,280.8,15,35
6110_331_12,ambient,12,0,I,21.9,284.7,15,70
6124_464_26,ambient,26,0,M,19.1,286.5,15,NA
6200_94_9,cold,9,3,M,19.1,286.5,15,35
6218_93_9,warm,9,3,I,19.1,286.5,15,35
6112_28_9,ambient,9,0,I,22.1,287.3,15,35
6138_247_12,cold,12,0,I,6.44,289.8,50,all
6242_377_12,warm,12,0,M,22.3,289.9,15,35
6236_361_12,warm,12,0,I,6.52,293.4,50,all
6225_92_9,warm,9,1,I,6.56,295.2,50,all
6178_124_9,cold,9,0,M,22.8,296.4,15,35
6277_177_9,cold,9,0,I,22.8,296.4,15,35
6143_10_9,ambient,9,0,M,22.9,297.7,15,35
6177_456_26,cold,26,1,I,19.9,298.5,15,all
6196_170_9,cold,9,1,I,23.1,300.3,15,35
6233_117_9,warm,9,1,I,23.1,300.3,15,35
6259_281_12,warm,12,0,M,23.1,300.3,15,35
6103_215_12,cold,12,1,I,6.68,300.6,50,all
6238_375_12,warm,12,0,M,23.2,301.6,15,35
6110_488_26,ambient,26,0,I,23.4,304.2,15,70
6122_133_9,ambient,9,1,I,23.5,305.5,15,35
6199_445_26,cold,26,1,I,20.4,306,15,all
6114_484_26,ambient,26,1,I,23.8,309.4,15,70
6156_446_26,cold,26,0,I,20.7,310.5,15,NA
6197_244_12,cold,12,0,M,23.9,310.7,15,70
6167_414_26,cold,26,0,I,28.6,314.6,12,all
6153_209_12,cold,12,0,M,24.3,315.9,15,35
6274_367_12,warm,12,1,I,24.3,315.9,15,70
6265_282_12,warm,12,0,I,24.4,317.2,15,35
6269_160_9,warm,9,1,I,24.6,319.8,15,70
6163_424_26,cold,26,1,I,21.4,321,15,NA
6267_288_12,warm,12,1,I,24.8,322.4,15,70
6150_119_9,ambient,9,0,M,24.9,323.7,15,35
6246_3_9,warm,9,0,I,7.2,324,50,all
6246_265_12,warm,12,0,I,7.24,325.8,50,all
6177_54_9,cold,9,1,I,25.2,327.6,15,35
6130_47_9,ambient,9,0,I,7.32,329.4,50,all
6241_323_12,ambient,12,1,I,22.2,333,15,NA
6228_29_9,warm,9,0,I,25.8,335.4,15,35
6167_414_26,cold,26,0,I,7.52,338.4,50,all
6149_226_12,cold,12,1,I,26.2,340.6,15,35
6236_157_9,warm,9,0,I,7.6,342,50,all
6107_115_9,ambient,9,0,M,26.6,345.8,15,70
6234_263_12,warm,12,0,I,26.6,345.8,15,35
6194_432_26,cold,26,0,M,26.7,347.1,15,70
6262_289_12,warm,12,1,I,27.1,352.3,15,35
6194_432_26,cold,26,0,M,14.1,352.5,30,all
6164_257_12,cold,12,1,I,27.2,353.6,15,35
6213_310_12,ambient,12,0,I,27.3,354.9,15,35
6125_303_12,ambient,12,1,I,27.4,356.2,15,35
6244_284_12,warm,12,1,I,27.6,358.8,15,35
6174_20_9,cold,9,1,I,27.7,360.1,15,35
6103_409_26,cold,26,1,I,8.04,361.8,50,all
6163_228_12,cold,12,1,I,28,364,15,35
6157_169_9,cold,9,0,M,28.1,365.3,15,35
6156_24_9,cold,9,0,I,28.2,366.6,15,35
6199_254_12,cold,12,1,I,28.4,369.2,15,35
6228_290_12,warm,12,0,I,28.5,370.5,15,35
6233_371_12,warm,12,1,I,28.5,370.5,15,35
6133_223_12,cold,12,0,I,8.24,370.8,50,all
6209_444_26,cold,26,1,I,8.24,370.8,50,all
6226_260_12,warm,12,0,I,8.28,372.6,50,all
6172_316_12,cold,12,0,M,28.7,373.1,15,35
6137_301_12,ambient,12,1,I,28.9,375.7,15,35
6139_104_9,ambient,9,3,M,29.1,378.3,15,70
6143_10_9,ambient,9,0,M,29.3,380.9,15,35
6223_270_12,warm,12,0,M,29.3,380.9,15,35
6106_450_26,cold,26,0,M,25.4,381,15,all
6220_293_12,warm,12,1,I,8.52,383.4,50,all
6173_420_26,cold,26,1,I,29.8,387.4,14,all
6253_275_12,warm,12,0,I,29.8,387.4,15,35
6203_425_26,cold,26,0,M,29.9,388.7,15,70
6203_222_12,cold,12,0,M,30.6,397.8,15,70
6137_81_9,ambient,9,1,I,31,403,15,35
6122_325_12,ambient,12,1,I,31.1,404.3,15,35
6161_53_9,ambient,9,0,M,31.2,405.6,15,35
6188_245_12,cold,12,1,I,31.5,409.5,15,35
6268_369_12,warm,12,0,I,31.5,409.5,15,70
6177_250_12,cold,12,1,I,31.6,410.8,15,35
6104_259_12,cold,12,0,I,31.7,412.1,15,35
6224_277_12,warm,12,1,I,9.32,419.4,50,all
6150_119_9,ambient,9,0,M,32.3,419.9,15,35
6124_75_9,ambient,9,0,M,32.9,427.7,15,70
6228_29_9,warm,9,0,I,33.1,430.3,15,35
6173_210_12,cold,12,1,I,33.3,432.9,15,35
6148_213_12,cold,12,1,I,34,442,15,35
6101_84_9,cold,9,0,I,34.7,451.1,15,70
6174_233_12,cold,12,1,I,35.2,457.6,15,35
6221_16_9,warm,9,1,I,10.2,459,50,all
6221_16_9,warm,9,1,I,10.2,459,50,all
6249_279_12,warm,12,1,I,35.5,461.5,15,35
6261_273_12,warm,12,1,I,36.1,469.3,15,35
6270_269_12,warm,12,0,M,31.7,475.5,15,NA
6245_365_12,warm,12,1,I,37,481,15,35
6187_431_26,cold,26,1,I,37.2,483.6,14,all
6226_85_9,warm,9,0,I,10.8,486,50,all
6128_231_12,cold,12,1,I,37.9,492.7,15,35
6160_238_12,cold,12,0,M,38,494,15,35
6203_113_9,cold,9,0,M,38.1,495.3,15,70
6272_111_9,ambient,9,0,I,39.9,518.7,15,35
6120_459_26,cold,26,1,I,40.2,522.6,14,all
6266_264_12,warm,12,1,I,40.5,526.5,15,35
6235_297_12,warm,12,0,I,40.9,531.7,15,35
6255_262_12,warm,12,1,I,41.3,536.9,15,35
6196_203_12,cold,12,1,I,42,546,15,35
6271_105_9,warm,9,0,M,42.6,553.8,15,70
6189_216_12,cold,12,0,I,44.4,577.2,15,35
6270_131_9,warm,9,0,M,45.4,590.2,15,70
6157_169_9,cold,9,0,M,46.4,603.2,15,35
6137_81_9,ambient,9,1,I,51,663,15,35
6211_118_9,ambient,9,1,I,51,663,15,70
6232_286_12,warm,12,0,M,51,663,15,35
6214_504_26,ambient,26,1,I,15.5,697.5,50,all
6188_443_26,cold,26,1,I,59.4,772.2,14,all
6277_177_9,cold,9,0,I,63,819,15,35
6141_451_26,cold,26,1,I,65.6,852.8,14,all
6273_127_9,warm,9,1,I,72,936,15,70
6188_172_9,cold,9,1,I,84,1092,15,35
6192_178_9,ambient,9,1,I,26,1170,50,all
6115_514_26,ambient,26,1,I,5.96,59.6,15,35
6122_489_26,ambient,26,1,I,8.32,83.2,15,35
6125_503_26,ambient,26,1,I,7.12,71.2,15,35
6131_507_26,ambient,26,0,I,8.9,89,15,50
6136_491_26,ambient,26,0,M,7.37,73.7,15,35
6137_500_26,ambient,26,1,I,13.8,138,15,35
6142_474_26,ambient,26,0,I,14.4,144,15,35
6144_477_26,ambient,26,1,I,20.3,203,15,35
6145_505_26,ambient,26,1,I,4.7,47,15,35
6150_511_26,ambient,26,0,M,4.12,41.2,15,35
6159_508_26,ambient,26,1,I,7.74,77.4,15,35
6161_512_26,ambient,26,0,M,10.9,109,15,35
6176_490_26,ambient,26,0,M,10.7,107,15,35
6179_515_26,ambient,26,0,M,7.23,72.3,15,35
6202_337_12,ambient,12,1,I,23.7,237,15,35
6206_509_26,ambient,26,1,I,9.75,97.5,15,35
