Sample_Day,Uniq_ID,infection_status,maturity,treatment_tank,tube_number,temperature_treatment,,,
9,6210_120_9,1,I,4,120,warm,,,
12,6210_274_12,1,I,4,274,warm,,,
26,6210_401_26,1,I,4,401,warm,,,
9,6129_86_9,1,I,5,86,warm,,,
12,6129_299_12,1,I,5,299,warm,,,
26,6129_403_26,1,I,5,403,warm,,,
9,6180_149_9,0,I,6,149,warm,,,
12,6180_370_12,0,I,6,370,warm,,,
26,6180_402_26,0,I,6,402,warm,,,
9,6134_77_9,1,I,7,77,ambient,,,
12,6134_353_12,1,I,7,353,ambient,,,
26,6134_465_26,1,I,7,465,ambient,,,
9,6135_4_9,1,I,8,4,ambient,,,
12,6135_327_12,1,I,8,327,ambient,,,
26,6135_492_26,1,I,8,492,ambient,,,
9,6144_14_9,1,I,7,14,ambient,,,
12,6144_348_12,1,I,7,348,ambient,,,
26,6144_477_26,1,I,7,477,ambient,,,
9,6145_59_9,1,I,9,59,ambient,,,
12,6145_305_12,1,I,9,305,ambient,,,#4
26,6145_505_26,1,I,9,505,ambient,,,
9,6155_66_9,1,I,7,66,ambient,,,
12,6155_358_12,1,I,7,358,ambient,,,
26,6155_476_26,1,I,7,476,ambient,,,
9,6159_26_9,1,I,9,26,ambient,,,
12,6159_313_12,1,I,9,313,ambient,,,
26,6159_508_26,1,I,9,508,ambient,,,
9,6130_47_9,0,I,8,47,ambient,,,
12,6130_339_12,0,I,8,339,ambient,,,
26,6130_498_26,0,I,8,498,ambient,,,
9,6131_38_9,0,I,9,38,ambient,,,
12,6131_314_12,0,I,9,314,ambient,,,
26,6131_507_26,0,I,9,507,ambient,,,
9,6142_65_9,0,I,7,65,ambient,,,
12,6142_346_12,0,I,7,346,ambient,,,
26,6142_474_26,0,I,7,474,ambient,,,
9,6146_12_9,0,I,9,12,ambient,,,
12,6146_309_12,0,I,9,309,ambient,,,
26,6146_502_26,0,I,9,502,ambient,,,
9,6165_55_9,0,I,7,55,ambient,,,
12,6165_360_12,0,I,7,360,ambient,,,
26,6165_469_26,0,I,7,469,ambient,,,
9,6166_21_9,0,I,8,21,ambient,,,
12,6166_349_12,0,I,8,349,ambient,,,
26,6166_496_26,0,I,8,496,ambient,,,
9,6103_46_9,1,I,1,46,cold,,,
12,6103_215_12,1,I,1,215,cold,,,
26,6103_409_26,1,I,1,409,cold,,,
9,6215_23_9,1,I,3,23,cold,,,
12,6215_457_12,1,I,3,253,cold,,,
26,6215_253_26,1,I,3,457,cold,,,
9,6209_125_9,1,I,3,125,cold,,,
12,6209_251_12,1,I,3,251,cold,,,
26,6209_444_26,1,I,3,444,cold,,,
9,6207_128_9,1,I,1,128,cold,,,
12,6207_202_12,1,I,1,202,cold,,,
26,6207_412_26,1,I,1,412,cold,,,
9,6208_106_9,1,I,2,106,cold,,,
12,6208_229_12,1,I,2,229,cold,,,
26,6208_435_26,1,I,2,435,cold,,,
9,6198_154_9,1,I,2,154,cold,,,
12,6198_230_12,1,I,2,230,cold,,,
26,6198_428_26,1,I,2,428,cold,,,
9,6138_80_9,0,I,3,80,cold,,,
12,6138_247_12,0,I,3,247,cold,,,
26,6138_453_26,0,I,3,453,cold,,,
9,6113_78_9,0,I,1,78,cold,,,
12,6113_214_12,0,I,1,214,cold,,,
26,6113_419_26,0,I,1,419,cold,,,
9,6117_42_9,0,I,2,42,cold,,,
12,6117_225_12,0,I,2,225,cold,,,
26,6117_440_26,0,I,2,440,cold,,,
9,6119_153_9,0,I,3,153,cold,,,
12,6119_258_12,0,I,3,258,cold,,,
26,6119_461_26,0,I,3,461,cold,,,
9,6132_88_9,0,I,1,88,cold,,,
12,6132_205_12,0,I,1,205,cold,,,
26,6132_406_26,0,I,1,406,cold,,,
9,6133_36_9,0,I,2,36,cold,,,
12,6133_223_12,0,I,2,223,cold,,,
26,6133_434_26,0,I,2,434,cold,,,
9,6169_57_9,1,I,8,57,ambient,,,
12,6169_328_12,1,I,8,328,ambient,,,
26,6169_486_26,1,I,8,486,ambient,,,
9,6170_70_9,1,I,9,70,ambient,,,
12,6170_320_12,1,I,9,320,ambient,,,
26,6170_516_26,1,I,9,516,ambient,,,
9,6182_137_9,1,I,7,137,ambient,,,
12,6182_354_12,1,I,7,354,ambient,,,
26,6182_462_26,1,I,7,462,ambient,,,
9,6183_141_9,1,I,8,141,ambient,,,
12,6183_322_12,1,I,8,322,ambient,,,
26,6183_494_26,1,I,8,494,ambient,,,
9,6181_175_9,0,I,7,175,ambient,,,
12,6181_355_12,0,I,7,355,ambient,,,
26,6181_470_26,0,I,7,470,ambient,,,
9,6185_145_9,0,I,8,145,ambient,,,
12,6185_336_12,0,I,8,336,ambient,,,
26,6185_487_26,0,I,8,487,ambient,,,
9,6186_171_9,0,I,9,171,ambient,,,
12,6186_306_12,0,I,9,306,ambient,,,
26,6186_510_26,0,I,9,510,ambient,,,
9,6147_30_9,0,I,1,30,cold,,,
12,6147_204_12,0,I,1,204,cold,,,
26,6147_421_26,0,I,1,421,cold,,,
9,6154_68_9,0,I,2,68,cold,,,
12,6154_232_12,0,I,2,232,cold,,,
26,6154_436_26,0,I,2,436,cold,,,
9,6167_45_9,0,I,1,45,cold,,,
12,6167_207_12,0,I,1,207,cold,,,
26,6167_414_26,0,I,1,414,cold,,,